# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0060681	BP	e	branch elongation involved in ureteric bud branching	3/100	6/11561	1.2325199915683588e-05	6	3	0.03511141325980362	G006514, G006662, G021850
GO:0006139	BP	p	nucleobase-containing compound metabolic process	0/100	1566/11561	9.250815446402726e-07	4	0	0.010541304201175905	
GO:0090304	BP	p	nucleic acid metabolic process	0/100	1304/11561	9.393897875580007e-06	5	0	0.03511141325980362	
GO:0044238	BP	p	primary metabolic process	12/100	3580/11561	1.0855390527367831e-05	2	12	0.03511141325980362	G006419, G006425, G011377, G012025, G013793, G013883, G014027, G020749, G020865, G024728, G025065, G028858
GO:0005576	CC	e	extracellular region	18/100	610/11561	4.136806951028026e-06	2	18	0.0035266279257513923	G000555, G002276, G002299, G002428, G006514, G006662, G007969, G011699, G012762, G012763, G013793, G014104, G015916, G016933, G019052, G020671, G020675, G021850
GO:0005615	CC	e	extracellular space	14/100	468/11561	4.736417311124623e-05	2	14	0.016151183030934966	G000459, G004354, G006514, G006662, G009158, G011699, G012681, G013883, G014950, G017316, G021180, G021850, G024510, G026270
GO:0032991	CC	p	protein-containing complex	9/100	3495/11561	4.793138075340993e-07	1	9	0.0008172300418456393	G015916, G016523, G019896, G020221, G020720, G020722, G020865, G023272, G028858
GO:0043232	CC	p	intracellular non-membrane-bounded organelle	1/100	1588/11561	1.2396710876077434e-05	4	1	0.005284098010928006	G004092
GO:0043228	CC	p	non-membrane-bounded organelle	1/100	1588/11561	1.2396710876077434e-05	3	1	0.005284098010928006	G004092
GO:0043229	CC	p	intracellular organelle	33/100	6056/11561	0.00011236147469900241	3	33	0.03192938572696652	G001737, G002595, G004092, G004267, G005702, G006376, G006514, G006662, G007969, G010773, G011699, G012025, G012958, G012976, G013293, G013793, G013883, G014027, G016523, G017592, G019823, G019896, G020720, G020722, G020835, G021735, G021850, G022418, G022640, G024675, G024679, G025065, G025678
GO:0005104	MF	e	fibroblast growth factor receptor binding	4/100	15/11561	6.6863712906902165e-06	5	4	0.018475154927536062	G006514, G006662, G021850, G024510
GO:0004983	MF	e	neuropeptide Y receptor activity	5/100	36/11561	1.3343255523031635e-05	7	5	0.018475154927536062	G003003, G013918, G024452, G028597, G028599
GO:0004888	MF	e	transmembrane signaling receptor activity	17/100	631/11561	2.593330616679429e-05	3	17	0.018475154927536062	G000024, G001307, G001567, G003003, G004267, G006748, G010962, G013918, G017164, G020865, G023272, G024452, G024782, G027455, G028095, G028597, G028599
GO:0038023	MF	e	signaling receptor activity	18/100	701/11561	2.7607571559869348e-05	2	18	0.018475154927536062	G000024, G001307, G001567, G003003, G004267, G006748, G010962, G013918, G017164, G019896, G020865, G023272, G024452, G024782, G027455, G028095, G028597, G028599
GO:0060089	MF	e	molecular transducer activity	18/100	701/11561	2.7607571559869348e-05	1	18	0.018475154927536062	G000024, G001307, G001567, G003003, G004267, G006748, G010962, G013918, G017164, G019896, G020865, G023272, G024452, G024782, G027455, G028095, G028597, G028599
GO:0008188	MF	e	neuropeptide receptor activity	6/100	70/11561	3.018918753097359e-05	6	6	0.018475154927536062	G000024, G003003, G013918, G024452, G028597, G028599
GO:0044548	MF	e	S100 protein binding	3/100	8/11561	3.407801962918378e-05	3	3	0.018475154927536062	G006514, G006662, G021850
