# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:1903046	BP	e	meiotic cell cycle process	10/136	113/11561	8.079354307876645e-07	3	10	0.005811322210532156	G003715, G003824, G004254, G004487, G004622, G005101, G011286, G015296, G016321, G019542
GO:0051321	BP	e	meiotic cell cycle	7/136	49/11561	1.5194019871854355e-06	3	7	0.005811322210532156	G003824, G004487, G008745, G019542, G020071, G022092, G028897
GO:0022414	BP	e	reproductive process	21/136	547/11561	1.529966356436724e-06	1	21	0.005811322210532156	G003618, G003715, G003824, G004188, G004254, G004487, G004622, G005101, G008234, G008745, G011286, G015296, G016321, G019542, G019896, G020071, G021394, G022092, G026547, G027807, G028897
GO:0007129	BP	e	homologous chromosome pairing at meiosis	5/136	21/11561	3.6600759674914228e-06	7	5	0.01042664141239119	G004622, G005101, G011286, G015296, G019542
GO:0061982	BP	e	meiosis I cell cycle process	7/136	58/11561	4.870286611348955e-06	4	7	0.01109938318726427	G003824, G004254, G004487, G005101, G011286, G015296, G019542
GO:0099086	CC	e	synaptonemal structure	5/136	16/11561	8.237322898408088e-07	2	5	0.0007022317770892895	G003715, G003773, G003824, G004487, G005101
GO:0000795	CC	e	synaptonemal complex	5/136	16/11561	8.237322898408088e-07	3	5	0.0007022317770892895	G003715, G003773, G003824, G004487, G005101
GO:0005929	CC	e	cilium	14/136	291/11561	8.112965612588997e-06	4	14	0.004610868789821414	G002505, G003795, G004186, G004340, G007955, G009518, G010885, G014415, G014991, G016593, G020996, G023191, G025840, G027807
GO:0005576	CC	e	extracellular region	20/136	610/11561	2.8698236137389768e-05	2	20	0.012232623153562388	G002121, G003024, G006522, G006618, G008731, G009350, G009585, G009645, G010338, G012020, G015720, G019052, G019705, G019715, G019956, G021850, G023780, G025545, G027807, G027971
GO:0009986	CC	e	cell surface	12/136	251/11561	3.947736297192136e-05	2	12	0.013461780773425185	G003637, G004092, G006618, G007613, G009762, G015720, G016740, G019052, G019457, G019896, G021394, G023780
GO:0097542	CC	e	ciliary tip	4/136	18/11561	4.932851800863141e-05	2	4	0.014017520534119426	G007955, G014991, G023191, G025840
GO:0042995	CC	e	cell projection	29/136	1167/11561	8.17178946456364e-05	2	29	0.019724804916219453	G000904, G002505, G003026, G003795, G004092, G004186, G004188, G004340, G006618, G007955, G008234, G009518, G010885, G013328, G014415, G014991, G015720, G016102, G016593, G019457, G019896, G020996, G021394, G023191, G023780, G025840, G026748, G027710, G027807
GO:0120025	CC	e	plasma membrane bounded cell projection	28/136	1109/11561	9.25504042989769e-05	3	28	0.019724804916219453	G000904, G002505, G003026, G003795, G004092, G004186, G004188, G004340, G006618, G007955, G008234, G009518, G010885, G013328, G014415, G014991, G015720, G016102, G016593, G019457, G019896, G020996, G021394, G023191, G023780, G025840, G027710, G027807
GO:0005930	CC	e	axoneme	7/136	97/11561	0.00014224094608726462	2	7	0.02694675700875402	G003795, G007955, G014415, G020996, G023191, G025840, G027807
GO:0032420	CC	e	stereocilium	4/136	25/11561	0.00019129946814600284	5	4	0.032616559318893484	G004340, G006618, G015720, G023780
GO:0098590	CC	e	plasma membrane region	22/136	817/11561	0.00025159458110747155	3	22	0.03899716007165809	G000904, G003026, G003637, G004092, G004340, G006618, G007955, G008234, G008583, G009645, G009734, G010145, G010338, G015720, G016740, G019654, G019896, G020083, G020996, G021394, G023203, G023780
GO:0098858	CC	e	actin-based cell projection	7/136	108/11561	0.0002774088703813415	4	7	0.0394151770000156	G004340, G006618, G007955, G008234, G015720, G019896, G023780
