# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0005615	CC	e	extracellular space	23/63	468/11561	1.138435277901332e-16	2	23	1.941032148821771e-13	G001087, G002125, G006371, G006983, G009158, G010426, G011699, G012053, G012974, G016433, G016840, G016872, G018710, G020189, G020296, G020297, G021993, G022129, G026111, G026270, G026485, G027064, G027769
GO:0005576	CC	e	extracellular region	21/63	610/11561	3.6011765963083877e-12	2	21	3.0700030483529007e-09	G002125, G002277, G003997, G004349, G005164, G005166, G005197, G008781, G011699, G012053, G012974, G016840, G016872, G018580, G020987, G022214, G026592, G027064, G027718, G028014, G028548
GO:0031012	CC	e	extracellular matrix	11/63	243/11561	6.628312644781027e-08	3	11	3.7670910197838835e-05	G001087, G006983, G008781, G010426, G020189, G020296, G020297, G021993, G022129, G026111, G027769
GO:0030312	CC	e	external encapsulating structure	11/63	250/11561	8.855036068104472e-08	2	11	3.774459124029531e-05	G001087, G006983, G008781, G010426, G020189, G020296, G020297, G021993, G022129, G026111, G027769
GO:0070702	CC	e	inner mucus layer	2/63	3/11561	8.737146891314008e-05	3	2	0.018621044312112978	G020296, G020297
GO:0070701	CC	e	mucus layer	2/63	3/11561	8.737146891314008e-05	2	2	0.018621044312112978	G020296, G020297
GO:0070703	CC	e	outer mucus layer	2/63	3/11561	8.737146891314008e-05	3	2	0.018621044312112978	G020296, G020297
GO:0032991	CC	p	protein-containing complex	4/63	3495/11561	5.751894122327259e-06	1	4	0.001961395895713595	G006983, G020422, G021500, G021815
GO:0043232	CC	p	intracellular non-membrane-bounded organelle	0/63	1588/11561	0.00014712459781824044	4	0	0.025084743928009995	
GO:0043228	CC	p	non-membrane-bounded organelle	0/63	1588/11561	0.00014712459781824044	3	0	0.025084743928009995	
GO:0004252	MF	e	serine-type endopeptidase activity	8/63	67/11561	2.4906573375449154e-09	5	8	9.452044595982955e-06	G006369, G006371, G016433, G016872, G018710, G026111, G026485, G027064
GO:0008236	MF	e	serine-type peptidase activity	8/63	79/11561	9.467368602881798e-09	4	8	1.7964331923968213e-05	G006369, G006371, G016433, G016872, G018710, G026111, G026485, G027064
GO:0017171	MF	e	serine hydrolase activity	8/63	84/11561	1.548779356205845e-08	3	8	1.9592058856003938e-05	G006369, G006371, G016433, G016872, G018710, G026111, G026485, G027064
GO:0004175	MF	e	endopeptidase activity	12/63	350/11561	3.2634581433091054e-07	4	12	0.0003096205913464514	G005197, G006369, G006371, G008781, G016433, G016872, G018710, G026111, G026485, G027064, G027718, G028548
GO:0004867	MF	e	serine-type endopeptidase inhibitor activity	4/63	20/11561	3.6335811473620957e-06	6	4	0.0027578880908478306	G002277, G005164, G005166, G020987
GO:0008233	MF	e	peptidase activity	12/63	493/11561	1.1588405905277009e-05	3	12	0.007329666735087708	G005197, G006369, G006371, G008781, G016433, G016872, G018710, G026111, G026485, G027064, G027718, G028548
GO:0004866	MF	e	endopeptidase inhibitor activity	4/63	35/11561	3.6935402369235625e-05	5	4	0.01752123149890615	G002277, G005164, G005166, G020987
GO:0015485	MF	e	cholesterol binding	4/63	37/11561	4.621041918361308e-05	5	4	0.019485393422423513	G002125, G012053, G012974, G020422
GO:0030414	MF	e	peptidase inhibitor activity	4/63	40/11561	6.316626534466667e-05	4	4	0.023971597698301	G002277, G005164, G005166, G020987
GO:0032934	MF	e	sterol binding	4/63	41/11561	6.971023766047955e-05	4	4	0.024050031992865442	G002125, G012053, G012974, G020422
GO:0061135	MF	e	endopeptidase regulator activity	4/63	42/11561	7.673467829752596e-05	4	4	0.024267342011592585	G002277, G005164, G005166, G020987
GO:0005496	MF	e	steroid binding	4/63	47/11561	0.00011981322566186331	3	4	0.03330599278102196	G002125, G012053, G012974, G020422
GO:0097159	MF	p	organic cyclic compound binding	7/63	4007/11561	2.7194473730169026e-05	2	7	0.014743289686570208	G002125, G012053, G012974, G020422, G021815, G025356, G026748
GO:0003676	MF	p	nucleic acid binding	2/63	2360/11561	0.00012286795755844728	3	2	0.03330599278102196	G021815, G025356
