# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0005886	CC	e	plasma membrane	37/100	2226/11561	3.1526227398883465e-05	3	37	0.026876108857548153	G001087, G001218, G001300, G001737, G003003, G003026, G003477, G004006, G004267, G004330, G006466, G009445, G010112, G010692, G010856, G010944, G011290, G012451, G012497, G013033, G013216, G013917, G013918, G016412, G018031, G018033, G019451, G019626, G020174, G021906, G022839, G024622, G024782, G024952, G025569, G026140, G027749
GO:0032010	CC	e	phagolysosome	2/100	2/11561	7.40767566890897e-05	9	2	0.04210029005163264	G003477, G004795
GO:0032991	CC	p	protein-containing complex	9/100	3495/11561	4.793138075340993e-07	1	9	0.0008172300418456393	G003197, G003411, G003477, G004140, G004795, G005483, G014534, G015473, G022887
GO:0048018	MF	e	receptor ligand activity	7/100	79/11561	5.106147300329682e-06	4	7	0.014615091612241735	G004140, G009909, G010730, G010922, G011290, G012497, G019223
GO:0030546	MF	e	signaling receptor activator activity	7/100	84/11561	7.702288069692614e-06	3	7	0.014615091612241735	G004140, G009909, G010730, G010922, G011290, G012497, G019223
GO:0005125	MF	e	cytokine activity	5/100	37/11561	1.5322865533472497e-05	5	5	0.019383424899842707	G004140, G010730, G010922, G011290, G019223
GO:0030545	MF	e	signaling receptor regulator activity	7/100	101/11561	2.5948440349240127e-05	2	7	0.02461858278134157	G004140, G009909, G010730, G010922, G011290, G012497, G019223
GO:0000981	MF	e	DNA-binding transcription factor activity, RNA polymerase II-specific	11/100	286/11561	3.5180460486484066e-05	3	11	0.026701969509241405	G003197, G006435, G007121, G010577, G011228, G011995, G016398, G016495, G019823, G020394, G022887
GO:0000976	MF	e	transcription cis-regulatory region binding	12/100	374/11561	8.887205691939578e-05	7	12	0.04600914120388806	G000010, G003197, G006435, G007121, G010577, G011228, G016398, G016495, G019823, G020394, G022887, G027270
GO:0001067	MF	e	transcription regulatory region nucleic acid binding	12/100	375/11561	9.115753606556536e-05	4	12	0.04600914120388806	G000010, G003197, G006435, G007121, G010577, G011228, G016398, G016495, G019823, G020394, G022887, G027270
GO:0003700	MF	e	DNA-binding transcription factor activity	11/100	322/11561	0.00010250735346713225	2	11	0.04600914120388806	G003197, G006435, G007121, G010577, G011228, G011995, G016398, G016495, G019823, G020394, G022887
GO:0022857	MF	e	transmembrane transporter activity	19/100	852/11561	0.00010911258783530767	2	19	0.04600914120388806	G001218, G001737, G003411, G004267, G006360, G006465, G006466, G010773, G013917, G016412, G018031, G018033, G019451, G020174, G021906, G022418, G024622, G024675, G024952
