# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:1901750	BP	e	leukotriene D4 biosynthetic process	4/200	6/11561	1.2690749355023914e-06	9	4	0.004820369630016583	G013030, G017891, G019076, G019249
GO:1901748	BP	e	leukotriene D4 metabolic process	4/200	6/11561	1.2690749355023914e-06	8	4	0.004820369630016583	G013030, G017891, G019076, G019249
GO:0031179	BP	e	peptide modification	4/200	6/11561	1.2690749355023914e-06	4	4	0.004820369630016583	G013030, G017891, G019076, G019249
GO:0006575	BP	e	cellular modified amino acid metabolic process	11/200	106/11561	2.091102709964751e-06	4	11	0.005957028845012083	G006205, G010255, G012926, G013030, G016126, G017891, G019076, G019249, G025456, G027527, G028447
GO:0010172	BP	e	embryonic body morphogenesis	4/200	8/11561	5.762935740075511e-06	4	4	0.009381236108308636	G003992, G003993, G025690, G027527
GO:0019344	BP	e	cysteine biosynthetic process	4/200	8/11561	5.762935740075511e-06	10	4	0.009381236108308636	G013030, G017891, G019076, G019249
GO:0010171	BP	e	body morphogenesis	4/200	9/11561	1.0232828197633376e-05	3	4	0.012955897479114702	G003992, G003993, G025690, G027527
GO:0030203	BP	e	glycosaminoglycan metabolic process	7/200	52/11561	2.8883865231856466e-05	5	7	0.023357356175669714	G008758, G011632, G012183, G013793, G015721, G016848, G016858
GO:0044273	BP	e	sulfur compound catabolic process	6/200	36/11561	3.1422192591855785e-05	4	6	0.023357356175669714	G013030, G016848, G016858, G017891, G019076, G019249
GO:0006664	BP	e	glycolipid metabolic process	7/200	53/11561	3.2796638772331324e-05	6	7	0.023357356175669714	G011213, G013793, G016848, G016858, G018472, G024728, G024963
GO:1903509	BP	e	liposaccharide metabolic process	7/200	53/11561	3.2796638772331324e-05	4	7	0.023357356175669714	G011213, G013793, G016848, G016858, G018472, G024728, G024963
GO:0010718	BP	e	positive regulation of epithelial to mesenchymal transition	6/200	37/11561	3.696812296698709e-05	6	6	0.02477951536522458	G004740, G006311, G006942, G006982, G027990, G028320
GO:1903053	BP	e	regulation of extracellular matrix organization	5/200	24/11561	4.7929522362894084e-05	5	5	0.027353531139804457	G003651, G007822, G012482, G024727, G025550
GO:0030214	BP	e	hyaluronan catabolic process	3/200	5/11561	4.9716914744102706e-05	8	3	0.027353531139804457	G012183, G016848, G016858
GO:0006024	BP	e	glycosaminoglycan biosynthetic process	6/200	39/11561	5.0410193412540026e-05	6	6	0.027353531139804457	G008758, G011632, G012183, G015721, G016848, G016858
GO:0006027	BP	e	glycosaminoglycan catabolic process	4/200	13/11561	5.4989438560495724e-05	6	4	0.028482029654402215	G012183, G013793, G016848, G016858
GO:0043603	BP	e	amide metabolic process	12/200	182/11561	7.528848662199598e-05	2	12	0.03461595769621738	G002610, G004586, G010255, G011213, G013030, G016778, G016848, G016858, G017891, G019076, G019249, G024728
GO:0006751	BP	e	glutathione catabolic process	4/200	14/11561	7.594549735896749e-05	6	4	0.03461595769621738	G013030, G017891, G019076, G019249
GO:0019370	BP	e	leukotriene biosynthetic process	4/200	14/11561	7.594549735896749e-05	8	4	0.03461595769621738	G013030, G017891, G019076, G019249
GO:0006023	BP	e	aminoglycan biosynthetic process	6/200	43/11561	8.893279708276372e-05	5	6	0.038976508567618945	G008758, G011632, G012183, G015721, G016848, G016858
GO:0030212	BP	e	hyaluronan metabolic process	3/200	6/11561	9.816475455525394e-05	7	3	0.0401434543971737	G012183, G016848, G016858
GO:0006534	BP	e	cysteine metabolic process	4/200	15/11561	0.00010216412264309236	7	4	0.0401434543971737	G013030, G017891, G019076, G019249
GO:0046456	BP	e	icosanoid biosynthetic process	4/200	15/11561	0.00010216412264309236	7	4	0.0401434543971737	G013030, G017891, G019076, G019249
GO:0006518	BP	e	peptide metabolic process	6/200	46/11561	0.00013087877306827757	3	6	0.046402186860472865	G012944, G013030, G017891, G019076, G019249, G021413
GO:0006750	BP	e	glutathione biosynthetic process	4/200	16/11561	0.00013438105892019347	6	4	0.046402186860472865	G013030, G017891, G019076, G019249
GO:0019184	BP	e	nonribosomal peptide biosynthetic process	4/200	16/11561	0.00013438105892019347	5	4	0.046402186860472865	G013030, G017891, G019076, G019249
GO:0006139	BP	p	nucleobase-containing compound metabolic process	7/200	1566/11561	3.0021897474662823e-06	4	7	0.006841990434475657	G003992, G003993, G006810, G009615, G010561, G014365, G025690
GO:1901360	BP	p	organic cyclic compound metabolic process	10/200	1749/11561	9.115279323255216e-06	3	10	0.012955897479114702	G003992, G003993, G006810, G009615, G010561, G012926, G014365, G025690, G027527, G028447
GO:0006996	BP	p	organelle organization	6/200	1319/11561	2.483105300067448e-05	4	6	0.023357356175669714	G001534, G006326, G008423, G016848, G016858, G023416
GO:0016043	BP	p	cellular component organization	22/200	2618/11561	2.5856171627650457e-05	3	22	0.023357356175669714	G001197, G001534, G001597, G003651, G006326, G006810, G007822, G007922, G008423, G010561, G010895, G012482, G014365, G015632, G016753, G016848, G016858, G019976, G020174, G023416, G024727, G028385
GO:0071840	BP	p	cellular component organization or biogenesis	22/200	2637/11561	2.6025086771380716e-05	2	22	0.023357356175669714	G001197, G001534, G001597, G003651, G006326, G006810, G007822, G007922, G008423, G010561, G010895, G012482, G014365, G015632, G016753, G016848, G016858, G019976, G020174, G023416, G024727, G028385
GO:0051641	BP	p	cellular localization	5/200	1177/11561	4.6683187312283746e-05	2	5	0.027353531139804457	G001534, G006617, G006810, G007922, G023416
GO:0090304	BP	p	nucleic acid metabolic process	7/200	1304/11561	0.00010616871658719517	5	7	0.0403264175170363	G003992, G003993, G006810, G009615, G010561, G014365, G025690
GO:0005576	CC	e	extracellular region	38/200	610/11561	3.560574155511226e-12	2	38	6.0707789351466404e-09	G001597, G001614, G003580, G003651, G004203, G006206, G006905, G007922, G008612, G008780, G010895, G012022, G012023, G013787, G013793, G017263, G017622, G018518, G019043, G019113, G019998, G020624, G021081, G021814, G021816, G021819, G022101, G023264, G023284, G023536, G023618, G024727, G025088, G025545, G025895, G025897, G027734, G028435
GO:0005615	CC	e	extracellular space	32/200	468/11561	2.078904852200865e-11	2	32	1.7722663865012374e-08	G002480, G003651, G004740, G006311, G006574, G006904, G006905, G006942, G006982, G007743, G008557, G011599, G012183, G013030, G016783, G017677, G017891, G019076, G019249, G021301, G021801, G021814, G022027, G023264, G023374, G024727, G025556, G026111, G027990, G028320, G028455, G028463
GO:0044217	CC	e	other organism part	3/200	7/11561	0.00016959754095168664	2	3	0.03212931192473619	G012022, G012023, G023536
GO:0044218	CC	e	other organism cell membrane	3/200	7/11561	0.00016959754095168664	3	3	0.03212931192473619	G012022, G012023, G023536
GO:0042151	CC	e	nematocyst	3/200	8/11561	0.000267898304080732	5	3	0.04152423713251346	G001614, G012022, G012023
GO:0005829	CC	p	cytosol	11/200	2173/11561	6.985130474850099e-08	2	11	3.9698824865398064e-05	G001534, G002480, G005193, G006904, G010255, G016848, G016858, G017677, G018326, G019976, G021301
