# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0006811	BP	e	monoatomic ion transport	36/321	412/11561	9.146674689686654e-10	4	36	1.018431856720219e-05	G002536, G003411, G003637, G003904, G003912, G003967, G007618, G010127, G011115, G012020, G012022, G012023, G012920, G013122, G013123, G013223, G016259, G016408, G016412, G019598, G020437, G021205, G021560, G021731, G021906, G021912, G023176, G023177, G023671, G023672, G024670, G024673, G025218, G025237, G025527, G025944
GO:0034220	BP	e	monoatomic ion transmembrane transport	31/321	325/11561	1.7875065497502747e-09	5	31	1.018431856720219e-05	G002536, G003411, G003637, G003904, G003912, G003967, G007618, G010127, G011115, G013122, G013123, G013223, G016259, G016408, G016412, G019598, G020437, G021205, G021560, G021731, G021906, G021912, G023176, G023177, G023671, G023672, G024670, G024673, G025237, G025527, G025944
GO:0071805	BP	e	potassium ion transmembrane transport	18/321	125/11561	9.71235704705455e-09	8	18	3.68907695170622e-05	G002536, G003904, G003912, G007618, G011115, G013122, G013123, G016259, G016408, G016412, G021560, G023176, G023177, G024670, G024673, G025237, G025527, G025944
GO:0006812	BP	e	monoatomic cation transport	30/321	340/11561	2.023434386897406e-08	5	30	4.611406967739188e-05	G002536, G003637, G003904, G003912, G003967, G007618, G010127, G011115, G012020, G012022, G012023, G012920, G013122, G013123, G016259, G016408, G016412, G021560, G021731, G021906, G021912, G023176, G023177, G023672, G024670, G024673, G025218, G025237, G025527, G025944
GO:0006813	BP	e	potassium ion transport	18/321	141/11561	6.608979104570141e-08	7	18	0.00012551552816096126	G002536, G003904, G003912, G007618, G011115, G013122, G013123, G016259, G016408, G016412, G021560, G023176, G023177, G024670, G024673, G025237, G025527, G025944
GO:0098660	BP	e	inorganic ion transmembrane transport	27/321	309/11561	1.305658389102144e-07	5	27	0.0001889081996289912	G002536, G003637, G003904, G003912, G003967, G007618, G010127, G011115, G013122, G013123, G016259, G016408, G016412, G019598, G020437, G021205, G021560, G021731, G021906, G021912, G023176, G023177, G024670, G024673, G025237, G025527, G025944
GO:0030001	BP	e	metal ion transport	27/321	320/11561	2.6526339168401696e-07	6	27	0.00033585292758215256	G002536, G003637, G003904, G003912, G003967, G007618, G010127, G011115, G012920, G013122, G013123, G016259, G016408, G016412, G021560, G021731, G021906, G021912, G023176, G023177, G023672, G024670, G024673, G025218, G025237, G025527, G025944
GO:0055085	BP	e	transmembrane transport	36/321	517/11561	3.260880411022819e-07	4	36	0.00035318832982082695	G002536, G003411, G003637, G003904, G003912, G003967, G007618, G010127, G011115, G013122, G013123, G013223, G016259, G016408, G016412, G019598, G020437, G021205, G021451, G021560, G021731, G021906, G021912, G022319, G023108, G023176, G023177, G023671, G023672, G024626, G024644, G024670, G024673, G025237, G025527, G025944
GO:0098655	BP	e	monoatomic cation transmembrane transport	24/321	265/11561	3.470201722104966e-07	6	24	0.00035318832982082695	G002536, G003637, G003904, G003912, G003967, G007618, G010127, G011115, G013122, G013123, G016259, G016408, G016412, G021560, G021731, G021906, G021912, G023176, G023177, G024670, G024673, G025237, G025527, G025944
GO:0098662	BP	e	inorganic cation transmembrane transport	24/321	266/11561	3.7194032100481997e-07	6	24	0.00035318832982082695	G002536, G003637, G003904, G003912, G003967, G007618, G010127, G011115, G013122, G013123, G016259, G016408, G016412, G021560, G021731, G021906, G021912, G023176, G023177, G024670, G024673, G025237, G025527, G025944
GO:0048793	BP	e	pronephros development	7/321	19/11561	4.5068480958272006e-07	5	7	0.0003950425696303919	G002505, G003904, G003912, G008423, G016593, G023176, G023177
GO:0048598	BP	e	embryonic morphogenesis	21/321	220/11561	8.118577453760254e-07	3	21	0.0006355165003878765	G001215, G003385, G003904, G003912, G003993, G005557, G005707, G008423, G010127, G011632, G012192, G012194, G012920, G014409, G014991, G016593, G022588, G023176, G023177, G023191, G027527
GO:0072114	BP	e	pronephros morphogenesis	5/321	8/11561	8.365728394750458e-07	5	5	0.0006355165003878765	G003904, G003912, G008423, G023176, G023177
GO:0060972	BP	e	left/right pattern formation	6/321	14/11561	1.0882859761188247e-06	4	6	0.0007750636686171254	G003904, G003912, G014722, G014991, G023176, G023177
GO:0032501	BP	e	multicellular organismal process	70/321	1422/11561	1.5768655586129426e-06	1	70	0.0009982435022441378	G000555, G001197, G001363, G001802, G002505, G002969, G003385, G003651, G003904, G003912, G004188, G004340, G005707, G005708, G006617, G006618, G006665, G008423, G008657, G009762, G010042, G010119, G010127, G010338, G010561, G010895, G011218, G011560, G011632, G012188, G012189, G012192, G012194, G012482, G012920, G013027, G013223, G014409, G014722, G014991, G015663, G016433, G016593, G016740, G016872, G017943, G018460, G019075, G019598, G019724, G020437, G020920, G021205, G021394, G021728, G022249, G022319, G022588, G023176, G023177, G023191, G023368, G023671, G023672, G023780, G024727, G025840, G026140, G026987, G027527
