# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0071805	BP	e	potassium ion transmembrane transport	37/244	125/11561	9.32227962487218e-33	8	37	1.062273763254185e-28	G002536, G003940, G003976, G004038, G004581, G005687, G005688, G005690, G006947, G006949, G013062, G013066, G013823, G016039, G018279, G019647, G019976, G020665, G020669, G022166, G023037, G023073, G023077, G023176, G024670, G024673, G024679, G024692, G025217, G025237, G025369, G025944, G026468, G027007, G027315, G028604, G028609
GO:0034220	BP	e	monoatomic ion transmembrane transport	52/244	325/11561	1.7042126528004911e-31	5	52	9.709751589330798e-28	G002536, G003940, G003976, G004038, G004581, G004925, G005687, G005688, G005690, G006947, G006949, G006995, G008375, G009028, G010127, G013062, G013066, G013223, G013823, G015391, G015392, G015514, G016039, G018279, G019457, G019465, G019647, G019976, G020437, G020665, G020669, G022166, G023037, G023073, G023077, G023176, G023419, G023671, G023672, G024670, G024673, G024679, G024692, G025217, G025237, G025369, G025944, G026468, G027007, G027315, G028604, G028609
GO:0006813	BP	e	potassium ion transport	37/244	141/11561	1.2738696657246874e-30	7	37	4.83858161364427e-27	G002536, G003940, G003976, G004038, G004581, G005687, G005688, G005690, G006947, G006949, G013062, G013066, G013823, G016039, G018279, G019647, G019976, G020665, G020669, G022166, G023037, G023073, G023077, G023176, G024670, G024673, G024679, G024692, G025217, G025237, G025369, G025944, G026468, G027007, G027315, G028604, G028609
GO:0055085	BP	e	transmembrane transport	61/244	517/11561	2.103897259081425e-29	4	61	5.993477316808209e-26	G002536, G003940, G003976, G004038, G004581, G004925, G005687, G005688, G005690, G006947, G006949, G006995, G008375, G009028, G010127, G012274, G012637, G013062, G013066, G013223, G013823, G014293, G014320, G015391, G015392, G015514, G016039, G018279, G019457, G019465, G019647, G019976, G020437, G020665, G020669, G022166, G022319, G022618, G022767, G023037, G023073, G023077, G023176, G023419, G023671, G023672, G024626, G024644, G024670, G024673, G024679, G024692, G025217, G025237, G025369, G025944, G026468, G027007, G027315, G028604, G028609
GO:0006811	BP	e	monoatomic ion transport	55/244	412/11561	3.548819395211222e-29	4	55	8.087759401686375e-26	G002536, G003940, G003976, G004038, G004581, G004925, G005687, G005688, G005690, G006947, G006949, G006995, G008375, G009028, G010127, G012920, G013062, G013066, G013223, G013823, G015391, G015392, G015514, G016039, G018279, G019457, G019465, G019647, G019976, G020437, G020665, G020669, G022166, G022618, G023037, G023073, G023077, G023176, G023419, G023671, G023672, G024670, G024673, G024679, G024692, G025217, G025237, G025369, G025944, G026468, G026989, G027007, G027315, G028604, G028609
GO:0098660	BP	e	inorganic ion transmembrane transport	48/244	309/11561	1.9304974978010582e-28	5	48	3.666336497907176e-25	G002536, G003940, G003976, G004038, G004581, G004925, G005687, G005688, G005690, G006947, G006949, G006995, G008375, G009028, G010127, G013062, G013066, G013823, G015391, G015392, G015514, G016039, G018279, G019457, G019465, G019647, G019976, G020437, G020665, G020669, G022166, G023037, G023073, G023077, G023176, G024670, G024673, G024679, G024692, G025217, G025237, G025369, G025944, G026468, G027007, G027315, G028604, G028609
GO:0030001	BP	e	metal ion transport	48/244	320/11561	9.851831922595855e-28	6	48	1.6037374965425681e-24	G002536, G003940, G003976, G004038, G004581, G004925, G005687, G005688, G005690, G006947, G006949, G006995, G008375, G009028, G010127, G012920, G013062, G013066, G013823, G015514, G016039, G018279, G019457, G019465, G019647, G019976, G020665, G020669, G022166, G022618, G023037, G023073, G023077, G023176, G023672, G024670, G024673, G024679, G024692, G025217, G025237, G025369, G025944, G026468, G027007, G027315, G028604, G028609
GO:0006812	BP	e	monoatomic cation transport	48/244	340/11561	1.6133255858247296e-26	5	48	2.2979806313090992e-23	G002536, G003940, G003976, G004038, G004581, G004925, G005687, G005688, G005690, G006947, G006949, G006995, G008375, G009028, G010127, G012920, G013062, G013066, G013823, G015514, G016039, G018279, G019457, G019465, G019647, G019976, G020665, G020669, G022166, G022618, G023037, G023073, G023077, G023176, G023672, G024670, G024673, G024679, G024692, G025217, G025237, G025369, G025944, G026468, G027007, G027315, G028604, G028609
GO:0098655	BP	e	monoatomic cation transmembrane transport	41/244	265/11561	3.102019612704552e-24	6	41	3.927501498529819e-21	G002536, G003940, G003976, G004038, G004581, G004925, G005687, G005688, G005690, G006947, G006949, G010127, G013062, G013066, G013823, G016039, G018279, G019457, G019465, G019647, G019976, G020665, G020669, G022166, G023037, G023073, G023077, G023176, G024670, G024673, G024679, G024692, G025217, G025237, G025369, G025944, G026468, G027007, G027315, G028604, G028609
GO:0098662	BP	e	inorganic cation transmembrane transport	41/244	266/11561	3.6031340673671685e-24	6	41	4.1057712697648886e-21	G002536, G003940, G003976, G004038, G004581, G004925, G005687, G005688, G005690, G006947, G006949, G010127, G013062, G013066, G013823, G016039, G018279, G019457, G019465, G019647, G019976, G020665, G020669, G022166, G023037, G023073, G023077, G023176, G024670, G024673, G024679, G024692, G025217, G025237, G025369, G025944, G026468, G027007, G027315, G028604, G028609
