# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0072073	BP	e	kidney epithelium development	4/64	20/11561	3.871520782986717e-06	5	4	0.04411597932213363	G003912, G006514, G006662, G023177
GO:0005615	CC	e	extracellular space	15/64	468/11561	2.6369479879841772e-08	2	15	4.495996319513022e-05	G006514, G006662, G006905, G009335, G009361, G009680, G009909, G010730, G010922, G015506, G018198, G021697, G023514, G024510, G026133
GO:0005576	CC	e	extracellular region	16/64	610/11561	1.357153393437595e-07	2	16	0.00011569732679055496	G001432, G006514, G006662, G006905, G007268, G009335, G009680, G009909, G010922, G012460, G015506, G016747, G017018, G019984, G021697, G022101
GO:0032010	CC	e	phagolysosome	2/64	2/11561	3.0169442724283753e-05	9	2	0.017146299948301268	G003477, G004795
GO:0035580	CC	e	specific granule lumen	3/64	13/11561	4.4483119942752833e-05	7	3	0.018960929875598394	G006905, G015506, G021697
GO:0048018	MF	e	receptor ligand activity	7/64	79/11561	2.41214396594398e-07	4	7	0.0006998635603377456	G006514, G006662, G009680, G009909, G010730, G010922, G024510
GO:0030546	MF	e	signaling receptor activator activity	7/64	84/11561	3.688345509026327e-07	3	7	0.0006998635603377456	G006514, G006662, G009680, G009909, G010730, G010922, G024510
GO:0030545	MF	e	signaling receptor regulator activity	7/64	101/11561	1.301247351464381e-06	2	7	0.001646077899602442	G006514, G006662, G009680, G009909, G010730, G010922, G024510
GO:0005102	MF	e	signaling receptor binding	13/64	522/11561	4.415026327761106e-06	3	13	0.00418875622846335	G003477, G003912, G006514, G006662, G009680, G009909, G010730, G010922, G018460, G019724, G022839, G023177, G024510
GO:0008201	MF	e	heparin binding	5/64	74/11561	5.3248691506057564e-05	4	5	0.04020941414102954	G006514, G006662, G009361, G010922, G020646
GO:0005104	MF	e	fibroblast growth factor receptor binding	3/64	15/11561	7.021061850139303e-05	5	3	0.04020941414102954	G006514, G006662, G024510
GO:0008083	MF	e	growth factor activity	4/64	41/11561	7.416756231546951e-05	5	4	0.04020941414102954	G006514, G006662, G009680, G024510
