# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0034702	CC	e	monoatomic ion channel complex	4/6	183/11561	8.891629833109397e-07	4	4	0.0014215533274706843	G005687, G018279, G023419, G028609
GO:1902495	CC	e	transmembrane transporter complex	4/6	225/11561	2.032529648469456e-06	3	4	0.0014215533274706843	G005687, G018279, G023419, G028609
GO:1990351	CC	e	transporter complex	4/6	237/11561	2.5012668518545764e-06	2	4	0.0014215533274706843	G005687, G018279, G023419, G028609
GO:0008076	CC	e	voltage-gated potassium channel complex	3/6	68/11561	3.843955275877871e-06	7	3	0.001494018350605382	G005687, G018279, G028609
GO:0034705	CC	e	potassium channel complex	3/6	71/11561	4.3812854856462815e-06	6	3	0.001494018350605382	G005687, G018279, G028609
GO:0098797	CC	e	plasma membrane protein complex	4/6	297/11561	6.148395419735857e-06	3	4	0.0017471690317749395	G005687, G018279, G023419, G028609
GO:0034703	CC	e	cation channel complex	3/6	135/11561	3.035599715732949e-05	5	3	0.0073938535933209685	G005687, G018279, G028609
GO:0098796	CC	e	membrane protein complex	4/6	673/11561	0.00015537198681525106	2	4	0.03311365469000038	G005687, G018279, G023419, G028609
GO:0008324	MF	e	monoatomic cation transmembrane transporter activity	5/6	478/11561	6.862828211684858e-07	4	5	0.0022404623052817863	G005687, G018279, G023419, G027668, G028609
GO:0015075	MF	e	monoatomic ion transmembrane transporter activity	5/6	533/11561	1.1807442979087148e-06	3	5	0.0022404623052817863	G005687, G018279, G023419, G027668, G028609
GO:0005251	MF	e	delayed rectifier potassium channel activity	3/6	54/11561	1.9077050121176062e-06	10	3	0.002413246840328772	G005687, G018279, G028609
GO:0022836	MF	e	gated channel activity	4/6	238/11561	2.543665819672404e-06	5	4	0.0024133029464141935	G005687, G018279, G023419, G028609
GO:0005261	MF	e	monoatomic cation channel activity	4/6	298/11561	6.231167181443465e-06	6	4	0.004729455890715589	G005687, G018279, G023419, G028609
GO:0005249	MF	e	voltage-gated potassium channel activity	3/6	86/11561	7.822022875223785e-06	9	3	0.004947429468579044	G005687, G018279, G028609
GO:0005216	MF	e	monoatomic ion channel activity	4/6	343/11561	1.0896142292647953e-05	5	4	0.005301713670791438	G005687, G018279, G023419, G028609
GO:0022857	MF	e	transmembrane transporter activity	5/6	852/11561	1.2113522412762954e-05	2	5	0.005301713670791438	G005687, G018279, G023419, G027668, G028609
GO:0015267	MF	e	channel activity	4/6	370/11561	1.471631042653023e-05	4	4	0.005301713670791438	G005687, G018279, G023419, G028609
GO:0022803	MF	e	passive transmembrane transporter activity	4/6	372/11561	1.50341422163906e-05	3	4	0.005301713670791438	G005687, G018279, G023419, G028609
GO:0005215	MF	e	transporter activity	5/6	894/11561	1.5367286002294022e-05	1	5	0.005301713670791438	G005687, G018279, G023419, G027668, G028609
GO:0005267	MF	e	potassium channel activity	3/6	124/11561	2.3527599978990013e-05	7	3	0.007440603493355592	G005687, G018279, G028609
GO:0022843	MF	e	voltage-gated monoatomic cation channel activity	3/6	132/11561	2.8379085564714948e-05	8	3	0.008284509978314864	G005687, G018279, G028609
GO:0022890	MF	e	inorganic cation transmembrane transporter activity	4/6	452/11561	3.24910450008165e-05	4	4	0.008807393984149902	G005687, G018279, G027668, G028609
GO:0015079	MF	e	potassium ion transmembrane transporter activity	3/6	153/11561	4.415015336557342e-05	6	3	0.010049711128282117	G005687, G018279, G028609
GO:0022832	MF	e	voltage-gated channel activity	3/6	154/11561	4.501846882234413e-05	6	3	0.010049711128282117	G005687, G018279, G028609
GO:0005244	MF	e	voltage-gated monoatomic ion channel activity	3/6	154/11561	4.501846882234413e-05	7	3	0.010049711128282117	G005687, G018279, G028609
GO:0015318	MF	e	inorganic molecular entity transmembrane transporter activity	4/6	510/11561	5.230561182855046e-05	3	4	0.01102776649385272	G005687, G018279, G027668, G028609
