# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0051260	BP	e	protein homooligomerization	4/8	115/11561	6.307345986853012e-07	7	4	0.0025341579651790166	G005687, G005688, G005690, G018279
GO:0098660	BP	e	inorganic ion transmembrane transport	5/8	309/11561	6.924561804223778e-07	5	5	0.0025341579651790166	G005687, G005688, G005690, G015391, G018279
GO:0071805	BP	e	potassium ion transmembrane transport	4/8	125/11561	8.817246838327992e-07	8	4	0.0025341579651790166	G005687, G005688, G005690, G018279
GO:0034220	BP	e	monoatomic ion transmembrane transport	5/8	325/11561	8.895683949728887e-07	5	5	0.0025341579651790166	G005687, G005688, G005690, G015391, G018279
GO:0006813	BP	e	potassium ion transport	4/8	141/11561	1.429019120896155e-06	7	4	0.003120132492831779	G005687, G005688, G005690, G018279
GO:0051259	BP	e	protein complex oligomerization	4/8	146/11561	1.6428955644572775e-06	6	4	0.003120132492831779	G005687, G005688, G005690, G018279
GO:0006811	BP	e	monoatomic ion transport	5/8	412/11561	2.875494183130592e-06	4	5	0.004680893745253299	G005687, G005688, G005690, G015391, G018279
GO:0055085	BP	e	transmembrane transport	5/8	517/11561	8.783158326223079e-06	4	5	0.012510511140913998	G005687, G005688, G005690, G015391, G018279
GO:0098655	BP	e	monoatomic cation transmembrane transport	4/8	265/11561	1.7571530155201255e-05	6	4	0.02032273079147332	G005687, G005688, G005690, G018279
GO:0098662	BP	e	inorganic cation transmembrane transport	4/8	266/11561	1.783477910616351e-05	6	4	0.02032273079147332	G005687, G005688, G005690, G018279
GO:0030001	BP	e	metal ion transport	4/8	320/11561	3.693159610292825e-05	6	4	0.03825777614480613	G005687, G005688, G005690, G018279
GO:0006812	BP	e	monoatomic cation transport	4/8	340/11561	4.685357504731405e-05	5	4	0.04449137397201196	G005687, G005688, G005690, G018279
GO:0034702	CC	e	monoatomic ion channel complex	5/8	183/11561	5.070913800233557e-08	4	5	5.1001774796012527e-05	G005687, G005688, G005690, G015391, G018279
GO:0008076	CC	e	voltage-gated potassium channel complex	4/8	68/11561	7.527850825075555e-08	7	4	5.1001774796012527e-05	G005687, G005688, G005690, G018279
GO:0034705	CC	e	potassium channel complex	4/8	71/11561	8.973919318946485e-08	6	4	5.1001774796012527e-05	G005687, G005688, G005690, G018279
GO:1902495	CC	e	transmembrane transporter complex	5/8	225/11561	1.426395090655328e-07	3	5	6.080009073918335e-05	G005687, G005688, G005690, G015391, G018279
GO:1990351	CC	e	transporter complex	5/8	237/11561	1.8489027381073427e-07	2	5	6.304758336946039e-05	G005687, G005688, G005690, G015391, G018279
GO:0034703	CC	e	cation channel complex	4/8	135/11561	1.2005731400665295e-06	5	4	0.0003411628673022388	G005687, G005688, G005690, G018279
GO:0098797	CC	e	plasma membrane protein complex	4/8	297/11561	2.754269121599136e-05	3	4	0.006708612646180753	G005687, G005688, G005690, G018279
GO:0098796	CC	e	membrane protein complex	5/8	673/11561	3.183917605124354e-05	2	5	0.00678572439592128	G005687, G005688, G005690, G015391, G018279
GO:0015318	MF	e	inorganic molecular entity transmembrane transporter activity	6/8	510/11561	1.8589472839697647e-07	3	6	0.00022928549862667714	G005687, G005688, G005690, G015391, G018279, G027668
GO:0022836	MF	e	gated channel activity	5/8	238/11561	1.888163651517569e-07	5	5	0.00022928549862667714	G005687, G005688, G005690, G015391, G018279
GO:0005249	MF	e	voltage-gated potassium channel activity	4/8	86/11561	1.9531265888988336e-07	9	4	0.00022928549862667714	G005687, G005688, G005690, G018279
GO:0015075	MF	e	monoatomic ion transmembrane transporter activity	6/8	533/11561	2.4167114479755165e-07	3	6	0.00022928549862667714	G005687, G005688, G005690, G015391, G018279, G027668
GO:0005267	MF	e	potassium channel activity	4/8	124/11561	8.537476146514836e-07	7	4	0.000629976821681199	G005687, G005688, G005690, G018279
GO:0022843	MF	e	voltage-gated monoatomic cation channel activity	4/8	132/11561	1.0971510249844222e-06	8	4	0.000629976821681199	G005687, G005688, G005690, G018279
GO:0005216	MF	e	monoatomic ion channel activity	5/8	343/11561	1.1620125828111706e-06	5	5	0.000629976821681199	G005687, G005688, G005690, G015391, G018279
GO:0015267	MF	e	channel activity	5/8	370/11561	1.6907590139913124e-06	4	5	0.0006431068123863541	G005687, G005688, G005690, G015391, G018279
GO:0022803	MF	e	passive transmembrane transporter activity	5/8	372/11561	1.7364356840737508e-06	3	5	0.0006431068123863541	G005687, G005688, G005690, G015391, G018279
GO:0015079	MF	e	potassium ion transmembrane transporter activity	4/8	153/11561	1.98127370180925e-06	6	4	0.0006431068123863541	G005687, G005688, G005690, G018279
GO:0022832	MF	e	voltage-gated channel activity	4/8	154/11561	2.0335393277038866e-06	6	4	0.0006431068123863541	G005687, G005688, G005690, G018279
GO:0005244	MF	e	voltage-gated monoatomic ion channel activity	4/8	154/11561	2.0335393277038866e-06	7	4	0.0006431068123863541	G005687, G005688, G005690, G018279
GO:0022857	MF	e	transmembrane transporter activity	6/8	852/11561	3.87675334504733e-06	2	6	0.0011317137649580475	G005687, G005688, G005690, G015391, G018279, G027668
GO:0022890	MF	e	inorganic cation transmembrane transporter activity	5/8	452/11561	4.539284393570009e-06	4	5	0.001230470305257013	G005687, G005688, G005690, G018279, G027668
GO:0005215	MF	e	transporter activity	6/8	894/11561	5.144327726244965e-06	1	6	0.0013015149147399764	G005687, G005688, G005690, G015391, G018279, G027668
GO:0008324	MF	e	monoatomic cation transmembrane transporter activity	5/8	478/11561	5.9763916645007975e-06	4	5	0.0014175253979237831	G005687, G005688, G005690, G018279, G027668
GO:0005261	MF	e	monoatomic cation channel activity	4/8	298/11561	2.790955261247849e-05	6	4	0.006230397186138581	G005687, G005688, G005690, G018279
GO:0046873	MF	e	metal ion transmembrane transporter activity	4/8	379/11561	7.1677807391505e-05	5	4	0.015112071058375635	G005687, G005688, G005690, G018279
