# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0022414	BP	e	reproductive process	12/26	547/11561	5.876376192150896e-10	1	12	6.696130670955945e-06	G003618, G004188, G004254, G004487, G005101, G008745, G011286, G016321, G020071, G021394, G022092, G026547
GO:0051321	BP	e	meiotic cell cycle	4/26	49/11561	3.975464611772344e-06	3	4	0.0149125635616688	G004487, G008745, G020071, G022092
GO:1903046	BP	e	meiotic cell cycle process	5/26	113/11561	4.557568068560446e-06	3	5	0.0149125635616688	G004254, G004487, G005101, G011286, G016321
GO:0070935	BP	e	3'-UTR-mediated mRNA stabilization	3/26	16/11561	5.546361087644258e-06	12	3	0.0149125635616688	G008745, G020071, G022092
GO:0007292	BP	e	female gamete generation	4/26	56/11561	6.818366036129143e-06	4	4	0.0149125635616688	G004188, G004254, G004487, G021394
GO:0061982	BP	e	meiosis I cell cycle process	4/26	58/11561	7.852161594560141e-06	4	4	0.0149125635616688	G004254, G004487, G005101, G011286
GO:0007276	BP	e	gamete generation	5/26	140/11561	1.299395328981932e-05	3	5	0.02115229967678445	G004188, G004254, G004487, G005101, G021394
GO:0048609	BP	e	multicellular organismal reproductive process	6/26	257/11561	1.8033872685102847e-05	2	6	0.025686997405843365	G004188, G004254, G004487, G005101, G021394, G026547
GO:0045948	BP	e	positive regulation of translational initiation	3/26	25/11561	2.24756939559655e-05	11	3	0.028456725847580765	G008745, G020071, G022092
GO:0007281	BP	e	germ cell development	4/26	86/11561	3.765896569439396e-05	4	4	0.04291239140876192	G004188, G004487, G021394, G026547
GO:0000795	CC	e	synaptonemal complex	3/26	16/11561	5.546361087644258e-06	3	3	0.00472827282721673	G003773, G004487, G005101
GO:0099086	CC	e	synaptonemal structure	3/26	16/11561	5.546361087644258e-06	2	3	0.00472827282721673	G003773, G004487, G005101
GO:0000801	CC	e	central element	2/26	4/11561	2.910102599463016e-05	2	2	0.01653908310694814	G003773, G005101
GO:0008494	MF	e	translation activator activity	3/26	17/11561	6.724819454854114e-06	5	3	0.025520689831171367	G008745, G020071, G022092
