# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0016998	BP	e	cell wall macromolecule catabolic process	3/53	4/11561	3.627642821680928e-07	5	3	0.0027045834191057	G020191, G020197, G020198
GO:0006032	BP	e	chitin catabolic process	6/53	74/11561	1.0126561677896308e-06	7	6	0.0027045834191057	G012251, G015498, G020191, G020197, G020198, G022032
GO:0046348	BP	e	amino sugar catabolic process	6/53	76/11561	1.1867412984228608e-06	5	6	0.0027045834191057	G012251, G015498, G020191, G020197, G020198, G022032
GO:1901072	BP	e	glucosamine-containing compound catabolic process	6/53	76/11561	1.1867412984228608e-06	6	6	0.0027045834191057	G012251, G015498, G020191, G020197, G020198, G022032
GO:0006030	BP	e	chitin metabolic process	6/53	76/11561	1.1867412984228608e-06	6	6	0.0027045834191057	G012251, G015498, G020191, G020197, G020198, G022032
GO:0006026	BP	e	aminoglycan catabolic process	6/53	87/11561	2.6379017443233715e-06	5	6	0.0050098150627608026	G012251, G015498, G020191, G020197, G020198, G022032
GO:1901071	BP	e	glucosamine-containing compound metabolic process	6/53	90/11561	3.218490195896281e-06	5	6	0.005239242254605446	G012251, G015498, G020191, G020197, G020198, G022032
GO:0006040	BP	e	amino sugar metabolic process	6/53	96/11561	4.692827482622568e-06	4	6	0.005941641018276018	G012251, G015498, G020191, G020197, G020198, G022032
GO:0044036	BP	e	cell wall macromolecule metabolic process	3/53	13/11561	2.519055571649644e-05	4	3	0.0277704207789739	G020191, G020197, G020198
GO:0006022	BP	e	aminoglycan metabolic process	6/53	130/11561	2.6807777847188494e-05	4	6	0.0277704207789739	G012251, G015498, G020191, G020197, G020198, G022032
GO:0009987	BP	p	cellular process	13/53	6516/11561	4.307681321213615e-06	1	13	0.005941641018276018	G002120, G009396, G010058, G011378, G015498, G017605, G020199, G020296, G021528, G021739, G022032, G022214, G028127
GO:0005576	CC	e	extracellular region	19/53	610/11561	8.866887756342206e-12	2	19	1.511804362456346e-08	G001459, G005208, G005209, G009396, G009527, G009528, G009531, G010570, G015498, G017661, G020624, G021739, G022032, G022146, G022158, G022214, G027714, G027715, G028734
GO:0005615	CC	e	extracellular space	16/53	468/11561	1.502535797109853e-10	2	16	1.2809117670361495e-07	G006177, G009410, G010058, G010339, G015498, G015572, G017605, G020296, G020297, G021528, G021739, G022546, G024706, G026093, G026108, G026110
GO:0031012	CC	e	extracellular matrix	11/53	243/11561	9.875140215278377e-09	3	11	5.612371355683211e-06	G002120, G010058, G011378, G018285, G018713, G020296, G020297, G021739, G026093, G026108, G026110
GO:0030312	CC	e	external encapsulating structure	11/53	250/11561	1.3266747205105616e-08	2	11	5.654950996176269e-06	G002120, G010058, G011378, G018285, G018713, G020296, G020297, G021739, G026093, G026108, G026110
GO:0070701	CC	e	mucus layer	2/53	3/11561	6.168334303313945e-05	2	2	0.009560918170136615	G020296, G020297
GO:0070702	CC	e	inner mucus layer	2/53	3/11561	6.168334303313945e-05	3	2	0.009560918170136615	G020296, G020297
GO:0070703	CC	e	outer mucus layer	2/53	3/11561	6.168334303313945e-05	3	2	0.009560918170136615	G020296, G020297
GO:0017090	CC	e	meprin A complex	2/53	4/11561	0.00012300392178559244	3	2	0.01747680722036959	G009528, G009531
GO:0043226	CC	p	organelle	13/53	6427/11561	5.217653267566333e-06	2	13	0.0017792197642401196	G001459, G003451, G009396, G009620, G009625, G020191, G020198, G020199, G020296, G021528, G021739, G022546, G028127
GO:0032991	CC	p	protein-containing complex	3/53	3495/11561	1.6042762705335368e-05	1	3	0.004558818402099467	G009396, G009528, G009531
GO:0043229	CC	p	intracellular organelle	13/53	6056/11561	4.481583973654741e-05	3	13	0.009560918170136615	G001459, G003451, G009396, G009620, G009625, G020191, G020198, G020199, G020296, G021528, G021739, G022546, G028127
GO:0043227	CC	p	membrane-bounded organelle	12/53	5782/11561	4.997498741776797e-05	3	12	0.009560918170136615	G001459, G003451, G009620, G009625, G020191, G020198, G020199, G020296, G021528, G021739, G022546, G028127
GO:0031090	CC	p	organelle membrane	1/53	2175/11561	0.00031597100446732794	3	1	0.0385543161198415	G020199
GO:0005829	CC	p	cytosol	1/53	2173/11561	0.00031657502972303874	2	1	0.0385543161198415	G020199
GO:0004175	MF	e	endopeptidase activity	26/53	350/11561	5.932887796374058e-26	4	26	2.251530918723955e-22	G005208, G005209, G006177, G009527, G009528, G009531, G010339, G010570, G011378, G015572, G017605, G017661, G018285, G018713, G022146, G022158, G024706, G026093, G026108, G026110, G027714, G027715, G028004, G028005, G028009, G028550
GO:0008237	MF	e	metallopeptidase activity	22/53	207/11561	3.378166513227937e-25	4	22	5.79038919130197e-22	G005208, G005209, G009410, G009527, G009528, G009531, G010570, G011378, G017605, G017661, G018285, G018713, G022146, G022158, G022546, G024706, G027714, G027715, G028004, G028005, G028009, G028550
GO:0004222	MF	e	metalloendopeptidase activity	20/53	147/11561	4.577382759922506e-25	5	20	5.79038919130197e-22	G005208, G005209, G009527, G009528, G009531, G010570, G011378, G017605, G017661, G018285, G018713, G022146, G022158, G024706, G027714, G027715, G028004, G028005, G028009, G028550
GO:0008233	MF	e	peptidase activity	28/53	493/11561	6.847630512205761e-25	3	28	6.496689448455217e-22	G005208, G005209, G006177, G009410, G009527, G009528, G009531, G010339, G010570, G011378, G015572, G017605, G017661, G018285, G018713, G022146, G022158, G022546, G024706, G026093, G026108, G026110, G027714, G027715, G028004, G028005, G028009, G028550
GO:0016787	MF	e	hydrolase activity	38/53	1934/11561	1.0400887075203715e-18	2	38	7.894273290079619e-16	G005208, G005209, G006177, G009410, G009527, G009528, G009531, G009620, G009625, G010339, G010570, G011378, G012251, G015498, G015572, G017605, G017661, G018285, G018713, G020191, G020197, G020198, G020199, G022032, G022146, G022158, G022546, G024706, G026093, G026108, G026110, G027714, G027715, G028004, G028005, G028009, G028550, G028734
