# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0016998	BP	e	cell wall macromolecule catabolic process	3/42	4/11561	1.7790131663609338e-07	5	3	0.0006543660467267331	G020191, G020197, G020198
GO:0006032	BP	e	chitin catabolic process	6/42	74/11561	2.446100521325878e-07	7	6	0.0006543660467267331	G012251, G015498, G020191, G020197, G020198, G022032
GO:0006030	BP	e	chitin metabolic process	6/42	76/11561	2.871285856633318e-07	6	6	0.0006543660467267331	G012251, G015498, G020191, G020197, G020198, G022032
GO:0046348	BP	e	amino sugar catabolic process	6/42	76/11561	2.871285856633318e-07	5	6	0.0006543660467267331	G012251, G015498, G020191, G020197, G020198, G022032
GO:1901072	BP	e	glucosamine-containing compound catabolic process	6/42	76/11561	2.871285856633318e-07	6	6	0.0006543660467267331	G012251, G015498, G020191, G020197, G020198, G022032
GO:0006026	BP	e	aminoglycan catabolic process	6/42	87/11561	6.439791870120149e-07	5	6	0.0012230238060003183	G012251, G015498, G020191, G020197, G020198, G022032
GO:1901071	BP	e	glucosamine-containing compound metabolic process	6/42	90/11561	7.876378934952465e-07	5	6	0.0012821619709111904	G012251, G015498, G020191, G020197, G020198, G022032
GO:0006040	BP	e	amino sugar metabolic process	6/42	96/11561	1.154066279128464e-06	4	6	0.001643823156333606	G012251, G015498, G020191, G020197, G020198, G022032
GO:0006022	BP	e	aminoglycan metabolic process	6/42	130/11561	6.77740674460994e-06	4	6	0.007722854985483027	G012251, G015498, G020191, G020197, G020198, G022032
GO:0044036	BP	e	cell wall macromolecule metabolic process	3/42	13/11561	1.2433287155325949e-05	4	3	0.012879755194085381	G020191, G020197, G020198
GO:1901136	BP	e	carbohydrate derivative catabolic process	6/42	154/11561	1.7889979747036526e-05	4	6	0.016988026601456766	G012251, G015498, G020191, G020197, G020198, G022032
GO:0009987	BP	p	cellular process	9/42	6516/11561	5.561638568533316e-06	1	9	0.007041652387604126	G002120, G009396, G011378, G015498, G017605, G021528, G021739, G022032, G028127
GO:0005576	CC	e	extracellular region	16/42	610/11561	1.3721438812216931e-10	2	16	2.3395053174829868e-07	G001459, G005208, G005209, G009396, G009527, G009528, G009531, G010570, G015498, G017661, G020987, G021739, G022032, G022146, G022158, G028734
GO:0005615	CC	e	extracellular space	12/42	468/11561	6.14891939962517e-08	2	12	5.2419537881804574e-05	G006177, G009410, G010339, G015498, G015572, G017605, G021528, G021739, G022546, G026093, G026108, G026110
GO:0031012	CC	e	extracellular matrix	9/42	243/11561	1.6818230684386604e-07	3	9	9.127897343381384e-05	G002120, G011376, G011378, G018285, G018713, G021739, G026093, G026108, G026110
GO:0030312	CC	e	external encapsulating structure	9/42	250/11561	2.1414421919956325e-07	2	9	9.127897343381384e-05	G002120, G011376, G011378, G018285, G018713, G021739, G026093, G026108, G026110
GO:0017090	CC	e	meprin A complex	2/42	4/11561	7.695294298847221e-05	3	2	0.02186746129922419	G009528, G009531
GO:0043226	CC	p	organelle	10/42	6427/11561	3.367099968637175e-05	2	10	0.011481810893052767	G001459, G009396, G009620, G009625, G020191, G020198, G021528, G021739, G022546, G028127
GO:0043227	CC	p	membrane-bounded organelle	9/42	5782/11561	0.0001652643506169037	3	9	0.04025367397168869	G001459, G009620, G009625, G020191, G020198, G021528, G021739, G022546, G028127
GO:0005829	CC	p	cytosol	0/42	2173/11561	0.00023472902390230563	2	0	0.04955680616902762	
GO:0043229	CC	p	intracellular organelle	10/42	6056/11561	0.00026159017919134814	3	10	0.04955680616902762	G001459, G009396, G009620, G009625, G020191, G020198, G021528, G021739, G022546, G028127
GO:0004175	MF	e	endopeptidase activity	24/42	350/11561	3.461689293681465e-26	4	24	1.3137110869521161e-22	G005208, G005209, G006177, G009527, G009528, G009531, G010339, G010570, G011376, G011378, G015572, G017605, G017661, G018285, G018713, G022146, G022158, G026093, G026108, G026110, G028004, G028005, G028009, G028550
GO:0008233	MF	e	peptidase activity	26/42	493/11561	1.101660027689445e-25	3	26	2.090399902540722e-22	G005208, G005209, G006177, G009410, G009527, G009528, G009531, G010339, G010570, G011376, G011378, G015572, G017605, G017661, G018285, G018713, G022146, G022158, G022546, G026093, G026108, G026110, G028004, G028005, G028009, G028550
GO:0008237	MF	e	metallopeptidase activity	20/42	207/11561	1.6481415112007372e-24	4	20	2.0848990116689324e-21	G005208, G005209, G009410, G009527, G009528, G009531, G010570, G011376, G011378, G017605, G017661, G018285, G018713, G022146, G022158, G022546, G028004, G028005, G028009, G028550
GO:0004222	MF	e	metalloendopeptidase activity	18/42	147/11561	7.080441015043186e-24	5	18	6.7175684130222234e-21	G005208, G005209, G009527, G009528, G009531, G010570, G011376, G011378, G017605, G017661, G018285, G018713, G022146, G022158, G028004, G028005, G028009, G028550
GO:0016787	MF	e	hydrolase activity	35/42	1934/11561	4.06935833579846e-21	2	35	3.0886429768710313e-18	G005208, G005209, G006177, G009410, G009527, G009528, G009531, G009620, G009625, G010339, G010570, G011376, G011378, G012251, G015498, G015572, G017605, G017661, G018285, G018713, G020191, G020197, G020198, G022032, G022146, G022158, G022546, G026093, G026108, G026110, G028004, G028005, G028009, G028550, G028734
GO:0008270	MF	e	zinc ion binding	20/42	635/11561	7.66997900755036e-15	7	20	4.851261722275603e-12	G005208, G005209, G009410, G009527, G009528, G009531, G010570, G011376, G011378, G017605, G017661, G018285, G018713, G022146, G022158, G022546, G028004, G028005, G028009, G028550
GO:0046914	MF	e	transition metal ion binding	20/42	821/11561	9.790138661682293e-13	6	20	4.662164310513082e-10	G005208, G005209, G009410, G009527, G009528, G009531, G010570, G011376, G011378, G017605, G017661, G018285, G018713, G022146, G022158, G022546, G028004, G028005, G028009, G028550
GO:0140096	MF	e	catalytic activity, acting on a protein	27/42	1787/11561	9.828014356812821e-13	2	27	4.662164310513082e-10	G001459, G005208, G005209, G006177, G009410, G009527, G009528, G009531, G010339, G010570, G011376, G011378, G015572, G017605, G017661, G018285, G018713, G022146, G022158, G022546, G026093, G026108, G026110, G028004, G028005, G028009, G028550
GO:0003824	MF	e	catalytic activity	36/42	4457/11561	3.6620185463179583e-10	1	36	1.5441511536974057e-07	G001459, G005208, G005209, G006177, G009410, G009527, G009528, G009531, G009620, G009625, G010339, G010570, G011376, G011378, G012251, G015498, G015572, G017605, G017661, G018285, G018713, G020191, G020197, G020198, G022032, G022146, G022158, G022546, G026093, G026108, G026110, G028004, G028005, G028009, G028550, G028734
GO:0004568	MF	e	chitinase activity	5/42	22/11561	1.244892537098842e-08	5	5	4.724367178290106e-06	G015498, G020191, G020197, G020198, G022032
GO:0004252	MF	e	serine-type endopeptidase activity	6/42	67/11561	1.3426567363317182e-07	5	6	4.6321657403444276e-05	G006177, G010339, G015572, G026093, G026108, G026110
GO:0008236	MF	e	serine-type peptidase activity	6/42	79/11561	3.621484293287831e-07	4	6	0.00011452944077522766	G006177, G010339, G015572, G026093, G026108, G026110
GO:0017171	MF	e	serine hydrolase activity	6/42	84/11561	5.22548145986477e-07	3	6	0.00015254386261682158	G006177, G010339, G015572, G026093, G026108, G026110
GO:0008061	MF	e	chitin binding	5/42	50/11561	9.294180379138099e-07	3	5	0.00023514276359219393	G015498, G020191, G020197, G020198, G022032
GO:0004553	MF	e	hydrolase activity, hydrolyzing O-glycosyl compounds	6/42	94/11561	1.0190483809087108e-06	4	6	0.00024170553784678487	G012251, G015498, G020191, G020197, G020198, G022032
GO:0016798	MF	e	hydrolase activity, acting on glycosyl bonds	6/42	125/11561	5.402793792474542e-06	3	6	0.0012060942613200524	G012251, G015498, G020191, G020197, G020198, G022032
GO:0046872	MF	e	metal ion binding	23/42	2986/11561	6.423189152869123e-05	5	23	0.013542223797299068	G005208, G005209, G006177, G009410, G009527, G009528, G009531, G010570, G011376, G011378, G017605, G017661, G018285, G018713, G021528, G021739, G022146, G022158, G022546, G028004, G028005, G028009, G028550
GO:0043169	MF	e	cation binding	23/42	3038/11561	0.0001242482665271294	4	23	0.024816956393181894	G005208, G005209, G006177, G009410, G009527, G009528, G009531, G010570, G011376, G011378, G017605, G017661, G018285, G018713, G021528, G021739, G022146, G022158, G022546, G028004, G028005, G028009, G028550
GO:0097159	MF	p	organic cyclic compound binding	1/42	4007/11561	6.37717175167948e-07	2	1	0.00017286690569731162	G028127
