# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0071824	BP	e	protein-DNA complex organization	161/2037	401/11561	2.530371190013769e-27	5	161	2.88335797102069e-23	G001115, G001200, G001335, G001394, G002107, G002270, G002324, G002591, G003109, G003423, G003548, G003549, G003700, G003730, G003814, G003826, G003973, G004113, G004114, G004176, G004259, G004403, G004504, G004564, G004567, G005473, G005846, G005979, G006004, G006182, G006256, G006271, G006274, G006730, G006768, G006811, G006980, G007819, G008039, G008870, G008970, G008980, G009338, G009397, G009682, G009991, G010049, G010125, G010131, G010493, G010662, G010698, G011120, G011181, G011296, G011310, G011614, G011691, G011842, G011847, G011919, G012008, G012186, G012568, G012589, G013038, G013190, G013211, G013230, G014412, G014688, G014710, G014727, G014884, G016168, G016383, G016386, G016458, G016675, G016676, G016682, G016688, G016819, G016935, G017027, G017480, G017607, G017621, G017780, G017907, G017972, G018129, G018234, G018302, G018352, G018358, G018392, G018421, G018475, G018659, G018931, G019225, G019432, G019434, G019519, G019554, G019718, G019739, G019960, G020247, G020402, G020443, G020501, G020520, G020765, G020830, G020982, G021197, G021490, G021520, G021940, G022233, G022251, G022280, G022282, G022557, G022797, G022844, G023001, G023038, G023345, G023694, G024505, G024507, G024597, G024814, G024938, G025384, G025637, G025642, G025721, G026157, G026228, G026322, G026351, G026450, G026474, G026503, G026536, G026703, G026734, G026754, G026858, G027009, G027633, G027728, G027766, G027909, G027913, G027919, G028274
GO:0006325	BP	e	chromatin organization	149/2037	378/11561	2.3355016775346373e-24	6	149	1.3306520807753596e-20	G001115, G001200, G001335, G001394, G002107, G002270, G002324, G002591, G003109, G003548, G003549, G003700, G003730, G003814, G003826, G004113, G004114, G004176, G004259, G004403, G004504, G004564, G004567, G005473, G005846, G005979, G006004, G006182, G006256, G006271, G006274, G006730, G006980, G007819, G008039, G008970, G008980, G009338, G009397, G009682, G009991, G010049, G010125, G010131, G010493, G010662, G010698, G011120, G011181, G011296, G011310, G011614, G011691, G011842, G011847, G011919, G012008, G012186, G012568, G012589, G013038, G013190, G013211, G013230, G014412, G014688, G014710, G014727, G014884, G016168, G016383, G016386, G016458, G016675, G016676, G016682, G016688, G016819, G016935, G017480, G017607, G017621, G017780, G017907, G017972, G018129, G018302, G018352, G018358, G018392, G018421, G018475, G018659, G018931, G019225, G019432, G019434, G019519, G019554, G019718, G019739, G019960, G020247, G020402, G020443, G020501, G020520, G020765, G020830, G020982, G021197, G021940, G022233, G022251, G022280, G022282, G022557, G022797, G022844, G023001, G023038, G023345, G023694, G024505, G024507, G024597, G024814, G024938, G025384, G025637, G025642, G025721, G026157, G026228, G026322, G026351, G026474, G026503, G026536, G026703, G026734, G026754, G026858, G027009, G027728, G027766, G027909, G027913, G028274
GO:0006139	BP	e	nucleobase-containing compound metabolic process	413/2037	1566/11561	9.91731321531833e-21	4	413	3.766926136285079e-17	G000002, G000009, G000576, G000577, G000755, G000843, G000942, G000944, G000993, G001037, G001130, G001200, G001233, G001261, G001266, G001354, G001371, G001472, G001520, G001565, G001678, G001735, G001757, G001871, G002052, G002107, G002324, G002339, G002457, G002458, G002485, G002552, G003311, G003417, G003521, G003647, G003700, G003755, G003782, G003815, G003826, G003973, G004056, G004133, G004176, G004282, G004311, G004343, G004435, G004455, G004504, G004848, G005092, G005134, G005189, G005215, G005329, G005387, G005471, G005473, G005485, G005679, G005763, G005764, G005825, G005846, G005860, G005910, G005941, G005981, G006004, G006086, G006260, G006271, G006274, G006339, G006406, G006441, G006588, G006725, G006730, G006768, G006811, G006834, G007007, G007050, G007095, G007133, G007270, G007410, G007553, G007590, G007609, G007617, G007619, G007758, G007819, G007992, G008023, G008146, G008215, G008241, G008293, G008376, G008415, G008518, G008600, G008685, G008698, G008753, G008870, G008903, G009020, G009027, G009073, G009325, G009338, G009401, G009414, G009464, G009535, G009617, G009682, G009786, G009869, G010049, G010063, G010103, G010578, G010662, G010673, G010794, G010974, G010989, G011052, G011105, G011120, G011148, G011197, G011296, G011381, G011523, G011538, G011595, G011629, G011691, G011867, G012016, G012019, G012059, G012072, G012107, G012116, G012411, G012449, G012598, G012617, G012668, G012787, G013001, G013032, G013038, G013230, G013263, G013265, G013287, G013444, G013445, G013450, G013598, G013862, G013946, G014040, G014064, G014095, G014213, G014326, G014364, G014377, G014445, G014449, G014629, G014660, G014664, G014682, G014683, G014697, G014732, G014752, G014807, G015369, G015443, G015461, G015510, G015744, G015815, G016205, G016220, G016258, G016271, G016359, G016414, G016436, G016437, G016443, G016500, G016579, G016583, G016655, G016657, G016675, G016676, G016680, G016682, G016688, G016750, G016819, G016838, G016856, G016935, G016944, G017027, G017098, G017109, G017191, G017206, G017272, G017314, G017422, G017464, G017527, G017545, G017571, G017607, G017621, G017709, G017907, G017983, G018143, G018144, G018227, G018234, G018280, G018290, G018295, G018302, G018352, G018363, G018369, G018392, G018420, G018421, G018422, G018462, G018513, G018657, G018853, G018891, G019044, G019051, G019194, G019225, G019382, G019620, G019622, G019718, G019739, G019751, G019788, G019960, G020089, G020123, G020153, G020160, G020175, G020223, G020402, G020406, G020464, G020515, G020520, G020540, G020563, G020702, G020711, G020828, G020831, G021040, G021062, G021069, G021166, G021327, G021358, G021462, G021465, G021487, G021490, G021520, G021661, G021785, G021841, G021940, G022040, G022119, G022136, G022254, G022268, G022282, G022296, G022347, G022376, G022458, G022459, G022468, G022495, G022533, G022553, G022580, G022660, G022768, G022801, G022811, G022929, G023164, G023253, G023258, G023348, G023658, G023706, G023900, G023918, G024074, G024107, G024116, G024170, G024355, G024403, G024429, G024464, G024470, G024771, G024781, G024814, G024842, G025013, G025075, G025147, G025214, G025239, G025272, G025352, G025368, G025384, G025431, G025469, G025549, G025568, G025637, G025642, G025688, G026003, G026094, G026157, G026301, G026322, G026369, G026423, G026450, G026460, G026474, G026496, G026526, G026536, G026624, G026734, G026758, G026764, G026768, G026775, G026825, G026977, G027068, G027084, G027246, G027314, G027350, G027385, G027428, G027458, G027521, G027633, G027640, G027709, G027728, G027765, G027766, G027909, G027913, G027957, G027958, G027960, G027989, G028034, G028094, G028100, G028114, G028151, G028194, G028365, G028376, G028637, G028721, G028875
GO:0022402	BP	e	cell cycle process	174/2037	505/11561	1.584810720865852e-20	2	174	4.514729541066596e-17	G000576, G000577, G000956, G001120, G001130, G001247, G001335, G001369, G001479, G001565, G001809, G001855, G001856, G001860, G002553, G003018, G003313, G003423, G003518, G003521, G003548, G003560, G003608, G003611, G003647, G003729, G003730, G003764, G003815, G003973, G004199, G004381, G004403, G004797, G004851, G004908, G005215, G005825, G006182, G006365, G006414, G006415, G006768, G006811, G006843, G007002, G007617, G007619, G007927, G008006, G008454, G008878, G009412, G009414, G009535, G009786, G009983, G010578, G010698, G010956, G010966, G011120, G011365, G011546, G011691, G011867, G011897, G012007, G012059, G012138, G012787, G012859, G012962, G013001, G013016, G013038, G013347, G013465, G013933, G014002, G014058, G014059, G014095, G014664, G014668, G014799, G014842, G015334, G015944, G016386, G016407, G016436, G016443, G016601, G016602, G016657, G016727, G016789, G017062, G017272, G017709, G017835, G017941, G018143, G018234, G018302, G018457, G018513, G018657, G019321, G019676, G019756, G020075, G020153, G020158, G020423, G020505, G020557, G020666, G020711, G020977, G021062, G021298, G021313, G021358, G021487, G021637, G021672, G021940, G022123, G022175, G022186, G022296, G022344, G022357, G022459, G022557, G022585, G022652, G023001, G023638, G023658, G023703, G023905, G024111, G024116, G024170, G024354, G024663, G024840, G025228, G025565, G025817, G025943, G026157, G026423, G026450, G026883, G026908, G026977, G027198, G027445, G027722, G027872, G027909, G027919, G027958, G028034, G028199, G028393, G028559, G028560, G028637, G028761
GO:0090304	BP	e	nucleic acid metabolic process	355/2037	1304/11561	4.3674951709745605e-20	5	355	9.953521494651024e-17	G000002, G000009, G000576, G000577, G000755, G000843, G000993, G001037, G001130, G001200, G001233, G001261, G001354, G001371, G001472, G001520, G001565, G001678, G001735, G001757, G001871, G002107, G002324, G002339, G002485, G003311, G003521, G003647, G003700, G003782, G003815, G003826, G003973, G004056, G004176, G004282, G004311, G004343, G004435, G004455, G004504, G004848, G005092, G005134, G005189, G005215, G005329, G005387, G005473, G005485, G005679, G005763, G005764, G005825, G005846, G005860, G005910, G005941, G005981, G006004, G006260, G006274, G006339, G006406, G006441, G006725, G006730, G006768, G006811, G006834, G007007, G007050, G007095, G007133, G007270, G007410, G007553, G007590, G007609, G007617, G007619, G007819, G007992, G008023, G008146, G008241, G008293, G008415, G008600, G008685, G008698, G008870, G009020, G009027, G009338, G009401, G009414, G009464, G009535, G009617, G009682, G009786, G009869, G010049, G010063, G010103, G010578, G010662, G010673, G010794, G010974, G010989, G011052, G011120, G011148, G011197, G011296, G011523, G011595, G011629, G011691, G011867, G012016, G012019, G012059, G012072, G012116, G012411, G012449, G012598, G012617, G012668, G012787, G013001, G013032, G013038, G013230, G013263, G013265, G013287, G013444, G013445, G013450, G013598, G013946, G014064, G014095, G014213, G014326, G014364, G014377, G014445, G014449, G014629, G014660, G014664, G014683, G014697, G014732, G014752, G014807, G015461, G015510, G015744, G015815, G016205, G016220, G016258, G016271, G016414, G016436, G016437, G016443, G016500, G016579, G016583, G016657, G016675, G016676, G016680, G016682, G016688, G016750, G016819, G016838, G016856, G016935, G017027, G017098, G017109, G017191, G017206, G017272, G017314, G017422, G017464, G017527, G017545, G017571, G017607, G017621, G017709, G017907, G017983, G018143, G018144, G018227, G018234, G018280, G018290, G018295, G018302, G018352, G018363, G018369, G018392, G018420, G018421, G018422, G018462, G018513, G018657, G018853, G018891, G019051, G019194, G019225, G019382, G019620, G019622, G019718, G019739, G019751, G019960, G020123, G020153, G020175, G020223, G020402, G020406, G020464, G020515, G020520, G020540, G020563, G020702, G020711, G021040, G021062, G021069, G021358, G021462, G021465, G021487, G021490, G021520, G021661, G021841, G021940, G022119, G022136, G022254, G022268, G022282, G022296, G022347, G022376, G022459, G022468, G022533, G022553, G022580, G022660, G022801, G022811, G022929, G023164, G023253, G023258, G023348, G023658, G023900, G024107, G024116, G024170, G024355, G024403, G024429, G024464, G024470, G024781, G024814, G024842, G025013, G025075, G025272, G025352, G025368, G025384, G025431, G025469, G025549, G025568, G025637, G025642, G025688, G026003, G026157, G026322, G026369, G026423, G026450, G026460, G026474, G026496, G026526, G026536, G026624, G026734, G026758, G026764, G026768, G026775, G026825, G026977, G027084, G027314, G027350, G027385, G027428, G027458, G027521, G027633, G027640, G027709, G027728, G027765, G027766, G027909, G027913, G027957, G027958, G027960, G027989, G028034, G028094, G028100, G028114, G028151, G028194, G028365, G028376, G028637, G028721, G028875
GO:1901360	BP	e	organic cyclic compound metabolic process	442/2037	1749/11561	1.859041426786739e-18	3	442	3.5306295097058145e-15	G000002, G000009, G000560, G000576, G000577, G000755, G000843, G000942, G000944, G000993, G000995, G001037, G001130, G001200, G001233, G001261, G001266, G001354, G001371, G001472, G001520, G001565, G001678, G001735, G001757, G001871, G002052, G002054, G002107, G002324, G002339, G002457, G002458, G002485, G002493, G002552, G003311, G003417, G003521, G003647, G003700, G003755, G003782, G003815, G003826, G003973, G004056, G004133, G004176, G004282, G004311, G004343, G004435, G004455, G004504, G004848, G005092, G005134, G005146, G005189, G005215, G005329, G005387, G005471, G005473, G005485, G005651, G005679, G005763, G005764, G005825, G005846, G005860, G005910, G005941, G005981, G006004, G006086, G006260, G006271, G006274, G006339, G006406, G006441, G006446, G006503, G006588, G006725, G006730, G006768, G006811, G006834, G007007, G007050, G007095, G007133, G007270, G007410, G007553, G007590, G007609, G007617, G007619, G007758, G007819, G007992, G008023, G008146, G008215, G008241, G008293, G008376, G008415, G008518, G008600, G008685, G008698, G008753, G008870, G008903, G009020, G009027, G009073, G009325, G009338, G009401, G009414, G009464, G009535, G009617, G009682, G009786, G009869, G010049, G010063, G010103, G010578, G010662, G010673, G010794, G010974, G010989, G011052, G011105, G011120, G011148, G011197, G011296, G011381, G011447, G011523, G011538, G011595, G011629, G011691, G011867, G012016, G012019, G012059, G012072, G012107, G012116, G012186, G012411, G012449, G012598, G012617, G012668, G012787, G012925, G012926, G012969, G012970, G013001, G013032, G013038, G013230, G013263, G013265, G013287, G013444, G013445, G013450, G013598, G013862, G013946, G014040, G014064, G014095, G014213, G014326, G014364, G014377, G014445, G014449, G014629, G014660, G014664, G014682, G014683, G014697, G014732, G014752, G014807, G015369, G015443, G015461, G015510, G015744, G015815, G016205, G016220, G016258, G016271, G016359, G016414, G016436, G016437, G016443, G016500, G016579, G016583, G016655, G016657, G016675, G016676, G016680, G016682, G016688, G016723, G016750, G016764, G016819, G016838, G016856, G016935, G016944, G017027, G017098, G017109, G017191, G017206, G017272, G017314, G017422, G017454, G017464, G017527, G017543, G017545, G017571, G017607, G017621, G017709, G017907, G017983, G018005, G018142, G018143, G018144, G018227, G018234, G018280, G018290, G018295, G018302, G018352, G018363, G018369, G018392, G018420, G018421, G018422, G018462, G018513, G018657, G018853, G018891, G018901, G019044, G019051, G019194, G019225, G019382, G019620, G019622, G019718, G019739, G019751, G019788, G019882, G019960, G020089, G020123, G020153, G020160, G020175, G020223, G020402, G020406, G020464, G020515, G020520, G020540, G020563, G020634, G020702, G020711, G020744, G020759, G020828, G020831, G021040, G021062, G021069, G021166, G021327, G021358, G021462, G021465, G021487, G021490, G021520, G021661, G021785, G021841, G021940, G022040, G022119, G022136, G022240, G022254, G022268, G022282, G022296, G022347, G022376, G022458, G022459, G022468, G022495, G022533, G022553, G022580, G022660, G022768, G022801, G022811, G022929, G023164, G023253, G023258, G023348, G023658, G023706, G023900, G023918, G024074, G024107, G024116, G024170, G024355, G024403, G024429, G024445, G024464, G024470, G024771, G024781, G024814, G024842, G025013, G025075, G025147, G025214, G025239, G025272, G025352, G025368, G025384, G025431, G025469, G025549, G025568, G025637, G025642, G025682, G025688, G026003, G026094, G026157, G026301, G026322, G026369, G026423, G026450, G026460, G026474, G026496, G026526, G026536, G026624, G026734, G026758, G026764, G026768, G026775, G026825, G026977, G027068, G027084, G027246, G027314, G027350, G027385, G027428, G027458, G027521, G027633, G027640, G027709, G027728, G027738, G027765, G027766, G027909, G027913, G027957, G027958, G027960, G027989, G028034, G028094, G028100, G028114, G028151, G028194, G028365, G028376, G028637, G028721, G028875
GO:0007049	BP	e	cell cycle	132/2037	371/11561	5.026212537190812e-17	2	132	8.181955980184185e-14	G000576, G000577, G001369, G001520, G001650, G001855, G002001, G002107, G002131, G002431, G002502, G002616, G003018, G003548, G003692, G003729, G004194, G004851, G005003, G005092, G005193, G005217, G005514, G005981, G006190, G006365, G006606, G006730, G006945, G006969, G007282, G007537, G009448, G009464, G009526, G009634, G009665, G009682, G009734, G009983, G010145, G010146, G010506, G010662, G010965, G011181, G011765, G011867, G012059, G012138, G012598, G013443, G013447, G014377, G014523, G014963, G015334, G016145, G016282, G016347, G016382, G016437, G016707, G017062, G017607, G017780, G018129, G018290, G018295, G018397, G018420, G018656, G018659, G019051, G019622, G019718, G020090, G020167, G020370, G021040, G021062, G021149, G021422, G021487, G021520, G021578, G021637, G021672, G021974, G022115, G022168, G022280, G022296, G022357, G022363, G022459, G022496, G022543, G022727, G022913, G023273, G023694, G023837, G024071, G024072, G024428, G024493, G024651, G024663, G024703, G024757, G024814, G025184, G025384, G025637, G025642, G025721, G026231, G026353, G026734, G026858, G026919, G027009, G027084, G027386, G027489, G027573, G027731, G027906, G028049, G028094, G028274
GO:0006281	BP	e	DNA repair	122/2037	335/11561	9.574066739572068e-17	7	122	1.3637061312177964e-13	G000576, G000577, G001130, G001261, G001472, G001565, G001735, G002324, G002339, G003647, G003782, G003815, G003826, G004176, G004435, G004455, G004504, G005092, G005134, G005387, G005473, G005679, G005910, G005981, G006004, G006730, G006768, G006811, G006834, G007050, G007617, G007619, G007992, G008241, G008293, G008698, G009414, G009786, G010049, G010578, G010662, G011052, G011120, G011296, G011595, G011691, G012072, G013001, G013038, G013230, G013263, G013265, G013287, G013444, G014064, G014213, G014377, G014629, G014660, G014683, G014732, G015815, G016205, G016436, G016437, G016443, G016579, G016819, G016935, G017191, G017314, G017422, G017607, G017621, G017709, G018143, G018234, G018295, G018352, G018363, G018421, G018513, G018657, G019718, G019739, G019751, G020123, G020175, G020402, G020702, G020711, G021062, G021069, G021358, G021465, G021487, G021841, G021940, G022282, G022296, G022376, G023658, G024116, G024464, G024470, G024814, G024842, G025352, G025384, G026003, G026157, G026423, G026536, G026775, G026825, G026977, G027350, G027428, G027728, G027913, G028034, G028376
GO:0006974	BP	e	DNA damage response	160/2037	487/11561	1.0782107527508431e-16	4	160	1.3651346141773176e-13	G000012, G000217, G000576, G000577, G001130, G001261, G001472, G001565, G001735, G002001, G002324, G002339, G003018, G003647, G003700, G003730, G003782, G003815, G003826, G004176, G004403, G004435, G004455, G004504, G005092, G005134, G005387, G005473, G005679, G005910, G005981, G006004, G006198, G006730, G006768, G006811, G006834, G007050, G007617, G007619, G007992, G008241, G008293, G008698, G009414, G009535, G009786, G009983, G010049, G010131, G010578, G010662, G011052, G011120, G011296, G011447, G011595, G011691, G012072, G013001, G013038, G013041, G013230, G013263, G013265, G013287, G013444, G013447, G014064, G014095, G014213, G014377, G014629, G014660, G014683, G014732, G015602, G015731, G015815, G016205, G016258, G016282, G016436, G016437, G016443, G016579, G016819, G016935, G017191, G017314, G017422, G017457, G017607, G017621, G017709, G017972, G018143, G018234, G018295, G018352, G018363, G018397, G018421, G018513, G018528, G018645, G018657, G019051, G019432, G019434, G019676, G019718, G019739, G019751, G020123, G020153, G020175, G020402, G020702, G020711, G021062, G021069, G021358, G021422, G021465, G021487, G021520, G021722, G021841, G021940, G022282, G022296, G022315, G022376, G022727, G023001, G023658, G023703, G024116, G024464, G024470, G024814, G024842, G025352, G025384, G025923, G026003, G026157, G026423, G026536, G026775, G026825, G026950, G026977, G027350, G027428, G027728, G027913, G028034, G028376
GO:0006338	BP	e	chromatin remodeling	87/2037	213/11561	8.981282782545233e-16	7	87	1.0234171730710294e-12	G001115, G001200, G001335, G001394, G002107, G002270, G003548, G003549, G003700, G003730, G003814, G003826, G004114, G004176, G004259, G004403, G004564, G004567, G005846, G005979, G006004, G006182, G007819, G008980, G009338, G009682, G009991, G010049, G010131, G010493, G010662, G011296, G011614, G011691, G011847, G011919, G012568, G012589, G013190, G013230, G014710, G016168, G016386, G016675, G016676, G016682, G016688, G016819, G016935, G017480, G017621, G017907, G017972, G018129, G018352, G018392, G018475, G018659, G019718, G019739, G019960, G020247, G020443, G020501, G020520, G020765, G021940, G022233, G022251, G022280, G022282, G022797, G023038, G023345, G024507, G024938, G025637, G025642, G025721, G026228, G026322, G026536, G026703, G026734, G027728, G027909, G027913
