ID	CLS
HVAEP1-G000002	Ec_Head
HVAEP1-G000002	En_Head
HVAEP1-G000002	Ec_BodyCol/SC
HVAEP1-G000002	I_ISC
HVAEP1-G000002	Ec_Peduncle
HVAEP1-G000002	Ec_Tentacle
HVAEP1-G000002	I_FemGC
HVAEP1-G000002	Ec_BasalDisk
HVAEP1-G000002	I_Neuro
HVAEP1-G000002	I_EarlyNem
HVAEP1-G000002	I_MaleGC
HVAEP1-G000005	Ec_BodyCol/SC
HVAEP1-G000005	I_FemGC
HVAEP1-G000005	I_En2N
HVAEP1-G000008	Ec_Head
HVAEP1-G000008	En_Foot
HVAEP1-G000008	En_BodyCol/SC
HVAEP1-G000008	En_Head
HVAEP1-G000008	Ec_BodyCol/SC
HVAEP1-G000008	I_ZymoGl
HVAEP1-G000008	I_ISC
HVAEP1-G000008	Ec_Peduncle
HVAEP1-G000008	Ec_Tentacle
HVAEP1-G000008	I_FemGC
HVAEP1-G000008	I_GlProgen
HVAEP1-G000008	Ec_BasalDisk
HVAEP1-G000008	I_StenoNB
HVAEP1-G000008	I_DesmoNC
HVAEP1-G000008	I_IsoNC
HVAEP1-G000008	I_StenoNC
HVAEP1-G000009	Ec_Head
HVAEP1-G000009	En_Head
HVAEP1-G000009	Ec_BodyCol/SC
HVAEP1-G000009	En_Tentacle
HVAEP1-G000009	I_ISC
HVAEP1-G000009	Ec_Peduncle
HVAEP1-G000009	Ec_Tentacle
HVAEP1-G000009	I_FemGC
HVAEP1-G000009	I_GlProgen
HVAEP1-G000009	Ec_BasalDisk
HVAEP1-G000009	I_EarlyNem
HVAEP1-G000009	I_DesmoNC
HVAEP1-G000009	I_StenoNC
HVAEP1-G000010	En_BodyCol/SC
HVAEP1-G000010	En_Head
HVAEP1-G000011	Ec_Head
HVAEP1-G000011	En_Foot
HVAEP1-G000011	En_BodyCol/SC
HVAEP1-G000011	En_Head
HVAEP1-G000011	Ec_BodyCol/SC
HVAEP1-G000011	Ec_Peduncle
HVAEP1-G000011	Ec_Tentacle
HVAEP1-G000011	I_FemGC
HVAEP1-G000011	I_GlProgen
HVAEP1-G000011	Ec_BasalDisk
HVAEP1-G000012	Ec_Head
HVAEP1-G000012	En_Head
HVAEP1-G000012	Ec_BodyCol/SC
HVAEP1-G000012	I_ISC
HVAEP1-G000012	Ec_Peduncle
HVAEP1-G000012	I_FemGC
HVAEP1-G000012	I_GlProgen
HVAEP1-G000012	I_Neuro
HVAEP1-G000012	I_EarlyNem
HVAEP1-G000012	I_MaleGC
HVAEP1-G000012	I_StenoNB
HVAEP1-G000013	Ec_Head
HVAEP1-G000013	En_Foot
HVAEP1-G000013	I_ISC
HVAEP1-G000013	Ec_Peduncle
HVAEP1-G000013	Ec_Tentacle
HVAEP1-G000013	I_FemGC
HVAEP1-G000013	I_GlProgen
HVAEP1-G000013	I_Neuro
HVAEP1-G000013	I_MaleGC
HVAEP1-G000013	I_StenoNC
HVAEP1-G000013	I_Ec1N
HVAEP1-G000013	I_Ec4N
HVAEP1-G000015	Ec_Head
HVAEP1-G000015	Ec_BodyCol/SC
HVAEP1-G000015	En_Tentacle
HVAEP1-G000015	Ec_Peduncle
HVAEP1-G000015	I_FemGC
HVAEP1-G000015	I_StenoNB
HVAEP1-G000016	Ec_Head
HVAEP1-G000016	En_BodyCol/SC
HVAEP1-G000016	En_Head
HVAEP1-G000016	Ec_Peduncle
HVAEP1-G000016	Ec_BasalDisk
HVAEP1-G000016	I_EarlyNem
HVAEP1-G000016	I_MaleGC
HVAEP1-G000016	I_StenoNB
HVAEP1-G000016	I_SpumMucGl
HVAEP1-G000016	I_DesmoNC
HVAEP1-G000016	I_Ec3N
HVAEP1-G000017	Ec_Head
HVAEP1-G000017	Ec_BodyCol/SC
HVAEP1-G000017	Ec_Peduncle
HVAEP1-G000017	Ec_Tentacle
HVAEP1-G000017	Ec_BasalDisk
HVAEP1-G000019	Ec_Head
HVAEP1-G000019	Ec_BodyCol/SC
HVAEP1-G000019	Ec_Peduncle
HVAEP1-G000019	Ec_Tentacle
HVAEP1-G000019	I_StenoNC
HVAEP1-G000021	Ec_Head
HVAEP1-G000021	En_Foot
HVAEP1-G000021	En_BodyCol/SC
HVAEP1-G000021	En_Head
HVAEP1-G000021	Ec_BodyCol/SC
HVAEP1-G000021	En_Tentacle
HVAEP1-G000021	Ec_Peduncle
HVAEP1-G000021	Ec_Tentacle
HVAEP1-G000021	Ec_BasalDisk
