ID	Ec_Head	En_Head	Ec_BodyCol/SC	I_ISC	Ec_Peduncle	Ec_Tentacle	I_FemGC	Ec_BasalDisk	I_Neuro	I_EarlyNem	I_MaleGC	I_En2N	En_Foot	En_BodyCol/SC	I_ZymoGl	I_GlProgen	I_StenoNB	I_DesmoNC	I_IsoNC	I_StenoNC	En_Tentacle	I_Ec1N	I_Ec4N	I_SpumMucGl	I_Ec3N	I_GranGl	I_DesmoNB	I_IsoNB	I_Ec2N	I_Ec1/5N	I_En1N	I_En3N	C_neuron	C_germline	C_nematoblast	C_nematocytes	C_gland_cell	C_progenitor	C_neuroprogenitor	C_EC_foot	C_EN_foot	C_tentacle	C_head	L_ENDODERM	L_ECTODERM	L_INTERSTITIAL
HVAEP1-G000002	1	1	1	1	1	1	1	1	1	1	1																							1		1			1	1		1	1		1	1
HVAEP1-G000005			1				1					1																					1	1											1	
HVAEP1-G000008	1	1	1	1	1	1	1	1					1	1	1	1	1	1	1	1														1	1	1		1		1	1	1	1	1	1	1
HVAEP1-G000009	1	1	1	1	1	1	1	1		1						1		1		1	1													1		1		1		1		1	1		1	1
HVAEP1-G000010		1												1																													1	1		
HVAEP1-G000011	1	1	1		1	1	1	1					1	1		1																		1				1		1	1	1	1	1	1	
HVAEP1-G000012	1	1	1	1	1		1		1	1	1					1	1																	1	1	1		1	1	1			1		1	1
HVAEP1-G000013	1			1	1	1	1		1		1		1			1				1		1	1										1	1		1		1	1	1	1	1	1			1
HVAEP1-G000015	1		1		1		1										1				1													1	1					1		1	1		1	
HVAEP1-G000016	1	1			1			1		1	1			1			1	1						1	1								1	1	1	1	1			1			1	1		
HVAEP1-G000017	1		1		1	1		1																																1		1	1		1	
HVAEP1-G000019	1		1		1	1														1																1				1		1	1		1	
HVAEP1-G000021	1	1	1		1	1		1					1	1							1																			1	1	1	1	1	1	
HVAEP1-G000022	1	1	1										1	1							1																				1	1	1	1	1	
HVAEP1-G000023	1	1	1		1			1					1	1							1																			1	1	1	1	1	1	
HVAEP1-G000024								1																																1						
HVAEP1-G000026		1									1		1	1	1	1								1		1								1			1	1			1		1	1		
HVAEP1-G000027		1									1	1	1	1							1			1		1							1	1			1				1	1	1	1		
HVAEP1-G000029		1	1	1	1	1	1			1	1		1	1				1	1			1		1									1	1		1	1			1	1	1	1	1	1	1
HVAEP1-G000030	1	1	1	1		1	1	1	1	1	1		1	1		1			1							1								1		1		1	1	1	1	1	1	1	1	1
HVAEP1-G000032	1	1	1		1	1							1	1							1																			1	1	1	1	1	1	
HVAEP1-G000035				1						1	1							1	1								1	1						1	1	1										1
HVAEP1-G000036		1			1		1						1	1					1		1													1		1				1	1	1	1	1		
HVAEP1-G000037	1	1				1							1	1		1																						1			1	1	1	1		
HVAEP1-G000038	1	1			1	1		1					1		1		1		1			1					1	1					1		1	1				1	1	1	1			
HVAEP1-G000039	1		1	1					1										1	1	1	1			1			1	1				1		1	1			1			1	1		1	1
