ID	Ec_Head	En_Head	Ec_BodyCol/SC	I_ISC	Ec_Peduncle	Ec_Tentacle	I_FemGC	Ec_BasalDisk	I_Neuro	I_EarlyNem	I_MaleGC	I_En2N	En_Foot	En_BodyCol/SC	I_ZymoGl	I_GlProgen	I_StenoNB	I_DesmoNC	I_IsoNC	I_StenoNC	En_Tentacle	I_Ec1N	I_Ec4N	I_SpumMucGl	I_Ec3N	I_GranGl	I_DesmoNB	I_IsoNB	I_Ec2N	I_Ec1/5N	I_En1N	I_En3N	C_neuron	C_germline	C_nematoblast	C_nematocytes	C_gland_cell	C_progenitor	C_neuroprogenitor	C_EC_foot	C_EN_foot	C_tentacle	C_head	L_ENDODERM	L_ECTODERM	L_INTERSTITIAL
HVAEP1-G000002																																														
HVAEP1-G000005																																													1	
HVAEP1-G000008																																														
HVAEP1-G000009																																														
HVAEP1-G000010																																											1	1		
HVAEP1-G000011																																														
HVAEP1-G000012																																														
HVAEP1-G000013																																														1
HVAEP1-G000015																																													1	
HVAEP1-G000016																																												1		
HVAEP1-G000017																																													1	
HVAEP1-G000019																																													1	
HVAEP1-G000021																																														
HVAEP1-G000022																																														
HVAEP1-G000023																																														
HVAEP1-G000024								1																																1						
HVAEP1-G000026																																												1		
HVAEP1-G000027																																												1		
HVAEP1-G000029																																														
HVAEP1-G000030																																														
HVAEP1-G000032																																														
HVAEP1-G000035																																														1
HVAEP1-G000036																																												1		
HVAEP1-G000037																																												1		
HVAEP1-G000038																																														
HVAEP1-G000039																																														
HVAEP1-G000040																																														1
HVAEP1-G000042																																														
HVAEP1-G000043																																														1
HVAEP1-G000044																																												1		
HVAEP1-G000048																																														
HVAEP1-G000049																																														
HVAEP1-G000050																																														
HVAEP1-G000051																																							1					1		
HVAEP1-G000053																																														
HVAEP1-G000054																																														
HVAEP1-G000055																																														
HVAEP1-G000056																																														
HVAEP1-G000057																																														
HVAEP1-G000058																																														1
HVAEP1-G000060																																														
HVAEP1-G000061																																														
HVAEP1-G000062																																														
HVAEP1-G000065																																														
HVAEP1-G000066																																														
HVAEP1-G000068																																														
HVAEP1-G000069																																														
HVAEP1-G000072																																														
HVAEP1-G000073																																														
HVAEP1-G000075																																												1		
HVAEP1-G000076																																												1		
HVAEP1-G000078																																														
HVAEP1-G000079																																														
HVAEP1-G000080																																													1	
HVAEP1-G000081																																														1
HVAEP1-G000082																																														
HVAEP1-G000084																																														
HVAEP1-G000087																																														
HVAEP1-G000091																																														
HVAEP1-G000092																																												1		
HVAEP1-G000095																																												1		
HVAEP1-G000097																																											1	1		
HVAEP1-G000101																																												1		
HVAEP1-G000102																																												1		
HVAEP1-G000104																																												1		
HVAEP1-G000105																																														
HVAEP1-G000108																																												1		
HVAEP1-G000114																																														
HVAEP1-G000117																																												1		
HVAEP1-G000123																																														
HVAEP1-G000124																																													1	
HVAEP1-G000125																																													1	
HVAEP1-G000127																																														
HVAEP1-G000128																																														
HVAEP1-G000129																																													1	
HVAEP1-G000130																																														
HVAEP1-G000131																																														
HVAEP1-G000132																																														
HVAEP1-G000133																																														
HVAEP1-G000134		1																																									1			
HVAEP1-G000135																																														
HVAEP1-G000136																																												1		
HVAEP1-G000137																																														
HVAEP1-G000138																																														
HVAEP1-G000154																																														
HVAEP1-G000155																																														
HVAEP1-G000157																																														
HVAEP1-G000158																																														
HVAEP1-G000159																																														
HVAEP1-G000160																																														
