ID	UniProtKB	KEGG ID	KO Number	GO terms	
HVAEP1.T000002.1	P54310	LIPS_MOUSE	mmu:16890;		caveola [GO:0005901]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular space [GO:0005615]; lipid droplet [GO:0005811]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; 1,2-diacylglycerol acylhydrolase activity [GO:0102259]; 1,3-diacylglycerol acylhydrolase activity [GO:0102258]; acylglycerol lipase activity [GO:0047372]; all-trans-retinyl-palmitate hydrolase, all-trans-retinol forming activity [GO:0047376]; hormone-sensitive lipase activity [GO:0033878]; hydrolase activity, acting on ester bonds [GO:0016788]; protein kinase binding [GO:0019901]; retinyl-palmitate esterase activity [GO:0050253]; rRNA primary transcript binding [GO:0042134]; serine hydrolase activity [GO:0017171]; sterol esterase activity [GO:0004771]; triglyceride lipase activity [GO:0004806]; cellular response to cold [GO:0070417]; cholesterol metabolic process [GO:0008203]; diacylglycerol catabolic process [GO:0046340]; ether lipid metabolic process [GO:0046485]; lipid catabolic process [GO:0016042]; long-chain fatty acid catabolic process [GO:0042758]; termination of RNA polymerase I transcription [GO:0006363]; transcription initiation at RNA polymerase I promoter [GO:0006361]; triglyceride catabolic process [GO:0019433]
HVAEP1.T000009.2	P54310	LIPS_MOUSE	mmu:16890;		caveola [GO:0005901]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular space [GO:0005615]; lipid droplet [GO:0005811]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; 1,2-diacylglycerol acylhydrolase activity [GO:0102259]; 1,3-diacylglycerol acylhydrolase activity [GO:0102258]; acylglycerol lipase activity [GO:0047372]; all-trans-retinyl-palmitate hydrolase, all-trans-retinol forming activity [GO:0047376]; hormone-sensitive lipase activity [GO:0033878]; hydrolase activity, acting on ester bonds [GO:0016788]; protein kinase binding [GO:0019901]; retinyl-palmitate esterase activity [GO:0050253]; rRNA primary transcript binding [GO:0042134]; serine hydrolase activity [GO:0017171]; sterol esterase activity [GO:0004771]; triglyceride lipase activity [GO:0004806]; cellular response to cold [GO:0070417]; cholesterol metabolic process [GO:0008203]; diacylglycerol catabolic process [GO:0046340]; ether lipid metabolic process [GO:0046485]; lipid catabolic process [GO:0016042]; long-chain fatty acid catabolic process [GO:0042758]; termination of RNA polymerase I transcription [GO:0006363]; transcription initiation at RNA polymerase I promoter [GO:0006361]; triglyceride catabolic process [GO:0019433]
HVAEP1.T000010.1	O42342	SOX7_XENLA	xla:378665;		nucleus [GO:0005634]; sequence-specific DNA binding [GO:0043565]; transcription cis-regulatory region binding [GO:0000976]; cell differentiation [GO:0030154]; endoderm formation [GO:0001706]; heart development [GO:0007507]; negative regulation of Wnt signaling pathway [GO:0030178]; positive regulation of transcription by RNA polymerase II [GO:0045944]; pronephros development [GO:0048793]
HVAEP1.T000012.1	Q15291	RBBP5_HUMAN	hsa:5929;		histone methyltransferase complex [GO:0035097]; MLL1 complex [GO:0071339]; MLL1/2 complex [GO:0044665]; MLL3/4 complex [GO:0044666]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Set1C/COMPASS complex [GO:0048188]; histone binding [GO:0042393]; transcription cis-regulatory region binding [GO:0000976]; cellular response to DNA damage stimulus [GO:0006974]; histone H3-K4 methylation [GO:0051568]; response to estrogen [GO:0043627]; transcription initiation-coupled chromatin remodeling [GO:0045815]
HVAEP1.T000022.1	Q60855	RIPK1_MOUSE	mmu:19766;		death-inducing signaling complex [GO:0031264]; membrane raft [GO:0045121]; mitochondrion [GO:0005739]; protein-containing complex [GO:0032991]; receptor complex [GO:0043235]; ripoptosome [GO:0097342]; ATP binding [GO:0005524]; death domain binding [GO:0070513]; death receptor binding [GO:0005123]; identical protein binding [GO:0042802]; JUN kinase kinase kinase activity [GO:0004706]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein-containing complex binding [GO:0044877]; ubiquitin protein ligase binding [GO:0031625]; amyloid fibril formation [GO:1990000]; apoptotic process [GO:0006915]; cell death [GO:0008219]; cellular response to growth factor stimulus [GO:0071363]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to tumor necrosis factor [GO:0071356]; extrinsic apoptotic signaling pathway [GO:0097191]; inflammatory response [GO:0006954]; necroptotic process [GO:0070266]; necroptotic signaling pathway [GO:0097527]; negative regulation of apoptotic process [GO:0043066]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001240]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; negative regulation of necroptotic process [GO:0060546]; peptidyl-serine autophosphorylation [GO:0036289]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cell death [GO:0010942]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; positive regulation of hydrogen peroxide-induced cell death [GO:1905206]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-6-mediated signaling pathway [GO:0070105]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of JNK cascade [GO:0046330]; positive regulation of macrophage differentiation [GO:0045651]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of miRNA maturation [GO:1903800]; positive regulation of necroptotic process [GO:0060545]; positive regulation of necrotic cell death [GO:0010940]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of phosphorylation [GO:0042327]; positive regulation of programmed cell death [GO:0043068]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of tumor necrosis factor-mediated signaling pathway [GO:1903265]; programmed necrotic cell death [GO:0097300]; protein autophosphorylation [GO:0046777]; protein catabolic process [GO:0030163]; regulation of ATP:ADP antiporter activity [GO:0070926]; regulation of reactive oxygen species metabolic process [GO:2000377]; response to tumor necrosis factor [GO:0034612]; ripoptosome assembly [GO:0097343]; ripoptosome assembly involved in necroptotic process [GO:1901026]; T cell apoptotic process [GO:0070231]
HVAEP1.T000024.1	Q9VZW5	FMAR_DROME	dme:Dmel_CG2114;		membrane [GO:0016020]; plasma membrane [GO:0005886]; neuropeptide receptor activity [GO:0008188]; peptide receptor activity [GO:0001653]; adult locomotory behavior [GO:0008344]; behavioral defense response [GO:0002209]; flight behavior [GO:0007629]; G protein-coupled receptor signaling pathway [GO:0007186]; larval locomotory behavior [GO:0008345]; neuropeptide signaling pathway [GO:0007218]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of synaptic transmission, dopaminergic [GO:0032226]
HVAEP1.T000026.1	Q8WWB5	PIHD2_HUMAN	hsa:120379;		chaperone complex [GO:0101031]; cytoplasm [GO:0005737]; R2TP complex [GO:0097255]; ribonucleoprotein complex [GO:1990904]; small GTPase binding [GO:0031267]; box C/D snoRNP assembly [GO:0000492]; protein stabilization [GO:0050821]; rRNA processing [GO:0006364]
HVAEP1.T000027.1	Q9UL16	CFA45_HUMAN	hsa:25790;		9+0 motile cilium [GO:0097728]; 9+2 motile cilium [GO:0097729]; axonemal microtubule [GO:0005879]; axoneme [GO:0005930]; extracellular region [GO:0005576]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; AMP binding [GO:0016208]; cerebrospinal fluid circulation [GO:0090660]; epithelial cilium movement involved in determination of left/right asymmetry [GO:0060287]; establishment of left/right asymmetry [GO:0061966]; flagellated sperm motility [GO:0030317]; regulation of cilium beat frequency involved in ciliary motility [GO:0060296]
HVAEP1.T000029.1	Q9NBX4	RTXE_DROME			RNA-directed DNA polymerase activity [GO:0003964]; transposition, DNA-mediated [GO:0006313]
HVAEP1.T000030.1	Q6DCP6	DYM_XENLA	xla:446892;		Golgi apparatus [GO:0005794]
HVAEP1.T000040.1	Q15291	RBBP5_HUMAN	hsa:5929;		histone methyltransferase complex [GO:0035097]; MLL1 complex [GO:0071339]; MLL1/2 complex [GO:0044665]; MLL3/4 complex [GO:0044666]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Set1C/COMPASS complex [GO:0048188]; histone binding [GO:0042393]; transcription cis-regulatory region binding [GO:0000976]; cellular response to DNA damage stimulus [GO:0006974]; histone H3-K4 methylation [GO:0051568]; response to estrogen [GO:0043627]; transcription initiation-coupled chromatin remodeling [GO:0045815]
HVAEP1.T000041.1	A0A345BJN8	CLZ9_COCLU			membrane [GO:0016020]; nucleic acid binding [GO:0003676]; transmembrane transporter activity [GO:0022857]
HVAEP1.T000042.1	Q9VPH8	RBBP5_DROME	dme:Dmel_CG5585;		MLL1/2 complex [GO:0044665]; MLL3/4 complex [GO:0044666]; Set1C/COMPASS complex [GO:0048188]; chromatin organization [GO:0006325]; histone H3-K4 methylation [GO:0051568]
